Smiler,Clip,File name,Issue
C15,1,Participant 209_Participant 179  chi hap 1 C015_Analysis 1_video_20260707_184622_state.txt,State log - no action unit data
C15,2,Participant 210_Participant 180 chi hap 2 C015_Analysis 1_video_20260707_184702_state.txt,State log - no action unit data
C15,3,Participant 211_Participant 181 chi hap 3 C015_Analysis 1_video_20260707_185026_state.txt,State log - no action unit data
C15,4,Participant 212_Participant 182 chi hap 4 C015_Analysis 1_video_20260707_185058_state.txt,State log - no action unit data
C15,5,Participant 213_Participant 183 chi hap 5 C015_Analysis 1_video_20260707_185134_state.txt,State log - no action unit data
C15,6,Participant 214_Participant 184 chi hap 6 C015_Analysis 1_video_20260707_185204_state.txt,State log - no action unit data
C24,5,Participant 297_Participant 268 chi hap 5 C024 _Analysis 1_video_20260713_141440_state.txt,State log - no action unit data
C31,1,Participant 365_Participant 336 chi hap 1 C031_Analysis 1_video_20260713_152030_state.txt,State log - no action unit data
C31,2,Participant 366_Participant 337 chi hap 2 C031_Analysis 1_video_20260713_152057_state.txt,State log - no action unit data
C31,3,Participant 367_Participant 338 chi hap 3 C031_Analysis 1_video_20260713_152125_state.txt,State log - no action unit data
C31,4,Participant 368_Participant 339 chi hap 4 C031_Analysis 1_video_20260713_152210_state.txt,State log - no action unit data
C31,5,Participant 369_Participant 340 chi hap 5 C031_Analysis 1_video_20260713_152242_state.txt,State log - no action unit data
C31,6,Participant 370_Participant 341 chi hap 6 C031_Analysis 1_video_20260713_152308_state.txt,State log - no action unit data
C25,6,Participant 310_Participant 281  chi hap 6 C025 _Analysis 1_video_20260713_142409_detailed.txt,"Label conflict - clip code E25SA07-03 says SA (sad) but source video is Happy 7 CN"
