Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 19:19:05.969
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C18_noback\Happy 5 CN.mp4_converted_E18HA05-03_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.331100400	0.242631200	0.006106949	0.337849100	0.000096228	0.000846242	0.291815600	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	D
00:00:00.125	0.239371800	0.455828200	0.004299066	0.402704800	0.000073443	0.000689070	0.214325000	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.250	0.173985400	0.607057500	0.002996301	0.352441600	0.000062626	0.000533374	0.162584600	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	D
00:00:00.375	0.130639400	0.707819200	0.002125261	0.364603800	0.000051710	0.000459556	0.124650000	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	D
00:00:00.500	0.096924340	0.784910700	0.001543725	0.392738500	0.000038425	0.000434660	0.093406430	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	D
00:00:00.625	0.075700510	0.834007600	0.001222219	0.396907000	0.000030918	0.000460602	0.072098580	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:00.750	0.062110370	0.865788600	0.000921885	0.398764600	0.000029434	0.000475705	0.056447360	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:00.875	0.051107280	0.890930700	0.000864646	0.358205600	0.000035575	0.000477000	0.045742640	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.000	0.046453530	0.902390300	0.000698353	0.369019200	0.000043623	0.000517404	0.037620690	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.125	0.047040950	0.902721000	0.000771381	0.373809900	0.000037229	0.000500574	0.035741090	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.250	0.042031780	0.913744600	0.000615333	0.402544700	0.000035248	0.000547492	0.033514580	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.375	0.042910790	0.912678400	0.000717953	0.398307200	0.000033481	0.000612464	0.035977790	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.500	0.047123330	0.904742400	0.000721150	0.367017000	0.000030785	0.000668151	0.031846860	0.000000000	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D
00:00:01.625	0.052721180	0.893873400	0.001041527	0.375407100	0.000034597	0.000961898	0.037305590	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D
00:00:01.750	0.044255350	0.911028600	0.001029262	0.334129300	0.000030353	0.000827971	0.034670250	0.000000000	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D
00:00:01.875	0.041731930	0.916225000	0.000998484	0.334363800	0.000027038	0.000777772	0.031097930	0.000000000	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D
00:00:02.000	0.038322560	0.923145500	0.000925302	0.320274200	0.000022283	0.000712228	0.030165570	0.000000000	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D
00:00:02.125	0.040304330	0.919257200	0.000810610	0.341991500	0.000024843	0.000802191	0.038017970	0.000000000	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D
