Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/13/2026 15:16:30.055
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C30_noback\Happy 7 CN.mp4_converted_E30HA07-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.410732700	0.000033534	0.055264610	0.233659900	0.013935580	0.176291900	0.011069340	0.000041436	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A
00:00:00.125	0.416032300	0.000063103	0.055086320	0.227615200	0.014141810	0.159832200	0.011450640	0.000276039	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A
00:00:00.250	0.427559400	0.001086314	0.046101000	0.223208500	0.012415690	0.131739600	0.018550400	0.000761417	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A
00:00:00.375	0.332367600	0.237513900	0.032540700	0.161412300	0.010085840	0.093202510	0.014929280	0.000730820	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	B
00:00:00.500	0.237952100	0.456876900	0.022385690	0.111544200	0.007000663	0.064105850	0.010307380	0.000576361	NotActive	NotActive	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	B
00:00:00.625	0.173867200	0.606042300	0.015396470	0.076769370	0.004950511	0.044082920	0.007089203	0.000512267	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:00.750	0.141557400	0.685099400	0.010592080	0.052830250	0.003411279	0.030314060	0.004876242	0.000352263	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:00.875	0.109199500	0.759743200	0.007287507	0.036364890	0.002357389	0.020845740	0.003353736	0.000242236	NotActive	NotActive	NotActive	NotActive	C	NotActive	A	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:01.000	0.080666420	0.823636600	0.005014624	0.025042190	0.001654305	0.014334810	0.002306592	0.000339742	NotActive	NotActive	NotActive	NotActive	C	NotActive	A	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:01.125	0.067562050	0.854540000	0.003452410	0.017248270	0.001152944	0.009857526	0.001586934	0.000623663	NotActive	NotActive	NotActive	NotActive	C	NotActive	A	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:01.250	0.052410480	0.888071500	0.002376702	0.011893400	0.000804297	0.006778654	0.001091673	0.003662107	NotActive	NotActive	NotActive	NotActive	C	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:01.375	0.042021300	0.911069900	0.001636570	0.008215663	0.000566949	0.004661455	0.000751076	0.003385227	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:01.500	0.035533920	0.925571200	0.001131520	0.005693832	0.000414257	0.003205574	0.000517342	0.003443463	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:01.625	0.033151840	0.931385200	0.000782464	0.003965207	0.000306343	0.002204575	0.000356656	0.005199835	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.750	0.032064660	0.934281400	0.000541663	0.002769304	0.000225191	0.001516081	0.000245892	0.005920655	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.875	0.026257070	0.946393000	0.000377241	0.001950268	0.000171004	0.001042685	0.000169463	0.006503506	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:02.000	0.023054060	0.953140400	0.000265314	0.001391387	0.000134275	0.000717217	0.000117512	0.007956359	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:02.125	0.031759010	0.935965200	0.000184104	0.001001014	0.000108085	0.000493273	0.000081879	0.005956416	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:02.250	0.030396740	0.938851100	0.000129482	0.000724487	0.000085651	0.000339246	0.000056870	0.004754650	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:02.375	0.025378180	0.948999300	0.000090760	0.000543632	0.000070547	0.000233333	0.000039978	0.003628989	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:02.500	0.023017970	0.953796000	0.000064938	0.000442591	0.000066645	0.000160701	0.000028326	0.003372201	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:02.625	0.023170360	0.953543700	0.000050910	0.000878772	0.000143393	0.000112189	0.000036572	0.002629129	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:02.750	0.031350210	0.937220200	0.000040265	0.002906973	0.000250262	0.000090033	0.000067196	0.001832446	NotActive	NotActive	NotActive	NotActive	D	NotActive	A	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:02.875	0.030655120	0.938635300	0.000037686	0.003791044	0.000494241	0.000084015	0.000064467	0.001608517	NotActive	NotActive	NotActive	NotActive	C	NotActive	A	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:03.000	0.030946600	0.938069500	0.000034113	0.004718645	0.000600640	0.000106000	0.000075311	0.001299992	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:03.125	0.032039570	0.935895200	0.000030595	0.004920450	0.000523230	0.000092843	0.000071447	0.001107112	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:03.250	0.039255540	0.921471300	0.000028897	0.003945234	0.000430393	0.000070764	0.000069363	0.001446661	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:03.375	0.043571820	0.912844200	0.000023770	0.003312385	0.000350544	0.000051109	0.000057742	0.001106597	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
