Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 17:00:16.914
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C04_noback\Sad 1 CN.mp4_converted_E04SA01-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.343763300	0.000342170	0.053900290	0.369747800	0.115720700	0.082789450	0.027915860	0.000327438	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	A	NotActive	NotActive
00:00:00.125	0.378770800	0.000380437	0.052085460	0.299373700	0.165019600	0.104398700	0.021992680	0.000396264	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	NotActive
00:00:00.250	0.396363400	0.001000519	0.045070360	0.306146000	0.145104900	0.081263930	0.015847730	0.000385775	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	NotActive
00:00:00.375	0.404941600	0.008085754	0.070498280	0.215994200	0.148885600	0.061639530	0.018913680	0.008490503	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	B
00:00:00.500	0.407451100	0.034101290	0.052826980	0.183484400	0.158642100	0.045161190	0.013712030	0.026940030	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	B
00:00:00.625	0.376938400	0.142367200	0.038479990	0.134734300	0.137560900	0.032571360	0.009634013	0.032785710	A	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	A
00:00:00.750	0.343635900	0.241410500	0.027417560	0.100459700	0.101513900	0.022835890	0.007459961	0.042250170	A	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:00.875	0.304226800	0.342532500	0.019943600	0.074580540	0.075338330	0.016596630	0.005765189	0.037263090	A	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:01.000	0.294199200	0.377930200	0.014458100	0.066008170	0.053534030	0.011634890	0.004222905	0.026963800	A	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:01.125	0.276188700	0.424479200	0.010746030	0.056536880	0.037919930	0.008162891	0.003210825	0.021671330	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:01.250	0.254338200	0.475414800	0.007829632	0.048238640	0.026747380	0.005723421	0.002473103	0.015901900	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:01.375	0.232615300	0.523835700	0.005516676	0.041897530	0.019812170	0.004079750	0.001945304	0.011277360	NotActive	A	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:01.500	0.217237300	0.558015100	0.003932195	0.052471810	0.016673670	0.003085979	0.001745085	0.008335964	NotActive	A	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive
00:00:01.625	0.224817500	0.545239600	0.003190269	0.075367820	0.017841290	0.003380504	0.002681249	0.007434334	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive
00:00:01.750	0.226946000	0.542617100	0.002738273	0.080207140	0.017375080	0.003834146	0.003566262	0.006283258	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive
00:00:01.875	0.227815800	0.542014400	0.002295520	0.079578150	0.020068480	0.003730240	0.004313012	0.005448200	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive
00:00:02.000	0.254839300	0.488723000	0.002860480	0.082287710	0.025013050	0.005125139	0.008115129	0.005162424	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:02.125	0.250435900	0.498047000	0.004266448	0.067432580	0.020912870	0.004350850	0.007718038	0.006390809	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.250	0.248496400	0.502270500	0.003683490	0.094616160	0.016739820	0.003649712	0.007137897	0.007173576	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.375	0.262361900	0.474813000	0.002772416	0.144833200	0.014852930	0.006021149	0.010128130	0.010483030	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
