Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 18:07:58.449
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C11_noback\Sad 3 CN.mp4_converted_E11SA03-03_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.473427400	0.260378900	0.023028680	0.039611750	0.004743879	0.071016100	0.006301910	0.256012000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.125	0.491734100	0.230725100	0.025282700	0.036543440	0.006556506	0.068384230	0.009847475	0.213902400	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive
00:00:00.250	0.500640200	0.214921400	0.024441660	0.033280410	0.007200195	0.064956710	0.010388760	0.176027100	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive
00:00:00.375	0.500084600	0.203642000	0.024744720	0.034084080	0.007124075	0.063129380	0.010852900	0.153416900	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive
00:00:00.500	0.497823200	0.192591400	0.024251470	0.034103700	0.007324617	0.054671800	0.011241960	0.155753000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive
00:00:00.625	0.476370500	0.177711000	0.030699460	0.024181220	0.008183296	0.040172130	0.015472100	0.114613000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B
00:00:00.750	0.461041100	0.182378800	0.029160650	0.022477440	0.008455691	0.032797300	0.013838710	0.098247430	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B
00:00:00.875	0.425033500	0.233175100	0.022594700	0.022891050	0.006927649	0.028765250	0.011123310	0.080541660	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:01.000	0.378592500	0.304247300	0.016992310	0.024225400	0.007253483	0.029997690	0.008975477	0.085867900	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B
00:00:01.125	0.368602500	0.309603400	0.013480630	0.026852280	0.007657045	0.031552940	0.007745450	0.099281460	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B
00:00:01.250	0.357845100	0.322394400	0.011266960	0.025791700	0.008451343	0.031249170	0.007880051	0.110629200	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A
00:00:01.375	0.335379300	0.364168400	0.009553086	0.022862330	0.009763825	0.027712590	0.006237332	0.118850600	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A
