Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/13/2026 15:19:02.090
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C30_noback\Sad 5 CN.mp4_converted_E30SA05-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.409250200	0.000013433	0.275196200	0.159736500	0.000414105	0.024567900	0.021354760	0.000060189	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.125	0.423464300	0.000012697	0.219217400	0.163136200	0.000413981	0.024303240	0.023958500	0.000296380	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.250	0.440772200	0.000147070	0.165600200	0.177303900	0.001007228	0.025637650	0.034225400	0.008080595	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.375	0.448646000	0.002054174	0.141022800	0.132199500	0.001965982	0.036647710	0.106346900	0.019277460	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:00.500	0.525684500	0.026803750	0.109040000	0.095459970	0.002210465	0.033248390	0.105364900	0.084239330	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.625	0.571674500	0.074461500	0.084376450	0.068574530	0.002063308	0.028280680	0.096221950	0.105698000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.750	0.560938400	0.102340100	0.059769370	0.081320230	0.001851555	0.030875910	0.071535350	0.131045400	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.875	0.574011300	0.074115190	0.070591080	0.080265080	0.001379014	0.031990870	0.090812130	0.206416300	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:01.000	0.549000700	0.057489430	0.098244350	0.071528330	0.001062451	0.025799520	0.089835640	0.176432900	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:01.125	0.540427100	0.043749330	0.101710300	0.070932350	0.000802829	0.023408850	0.106749800	0.194572500	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:01.250	0.528515300	0.056942430	0.087015580	0.074330490	0.000626453	0.020348190	0.091441470	0.215762300	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:01.375	0.413162000	0.253434400	0.068136460	0.055879760	0.000741884	0.014560650	0.063802160	0.199099100	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:01.500	0.309407800	0.436241800	0.049286290	0.040707870	0.000841608	0.010495430	0.044166610	0.158995000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:01.625	0.268427100	0.501205000	0.040772660	0.034743530	0.000646172	0.007643379	0.031403880	0.170973900	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:01.750	0.247670000	0.531260100	0.034540660	0.028292990	0.000646452	0.005633877	0.022929390	0.160344400	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
