Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:14:28.477
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\71JP_noback\Sad 2 EN.mp4_converted_W71SA02-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.404998300	0.003948399	0.089675560	0.089016400	0.001164637	0.000033649	0.190664300	0.019354840	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.125	0.408070100	0.006235435	0.089772330	0.091918500	0.001062078	0.000033719	0.184493700	0.027596150	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.250	0.416534800	0.017898000	0.075441290	0.087197480	0.000893410	0.000043995	0.167520900	0.031252570	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.375	0.353250200	0.191016800	0.052157640	0.060143060	0.000677883	0.000171168	0.132673000	0.026019740	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:00.500	0.274501400	0.380524200	0.035918790	0.041442190	0.000489297	0.000129614	0.092357980	0.025966170	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:00.625	0.214784000	0.521970900	0.024761330	0.028573030	0.000345404	0.000095316	0.064013860	0.027665740	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:00.750	0.174997000	0.616681500	0.017115860	0.019748760	0.000248871	0.000078116	0.044890770	0.048373940	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:00.875	0.150513100	0.676058100	0.011833830	0.013742690	0.000205816	0.000062005	0.031445370	0.037183550	NotActive	NotActive	A	NotActive	C	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.000	0.125288300	0.733665200	0.008211258	0.009556782	0.000162775	0.000051945	0.022524600	0.027176580	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.125	0.114782900	0.759598000	0.005746210	0.006732233	0.000130887	0.000047086	0.016947010	0.020922040	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
