Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:17:25.270
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\71JP_noback\Sad 6 EN.mp4_converted_W71SA06-06_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.383696500	0.047574040	0.116869700	0.032592750	0.000484679	0.000124613	0.232835900	0.011137120	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	B	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.125	0.372742000	0.046211000	0.111989700	0.024012040	0.000480815	0.000125290	0.255253700	0.016970090	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.250	0.375596600	0.041535740	0.101843600	0.023299260	0.000419565	0.000101526	0.249379400	0.012536130	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.375	0.369511500	0.118449200	0.072734480	0.016462520	0.000372249	0.000549510	0.199007700	0.009349147	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	B	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:00.500	0.327892400	0.246205300	0.051060180	0.011480930	0.000329652	0.000807633	0.148884100	0.009975377	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:00.625	0.287384900	0.357833300	0.035462420	0.008093673	0.000268881	0.000657591	0.106437400	0.009454455	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C
00:00:00.750	0.271918600	0.409817000	0.024856690	0.005689543	0.000225779	0.000522971	0.076017560	0.009706192	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:00.875	0.245292800	0.477544500	0.017355200	0.004057157	0.000192158	0.000424155	0.055012160	0.008977719	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.000	0.229295200	0.519494200	0.012096150	0.002882245	0.000152938	0.000337639	0.040739630	0.009642624	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.125	0.210147100	0.564635500	0.008555327	0.002117361	0.000132531	0.000260888	0.029290890	0.008750405	NotActive	NotActive	A	NotActive	C	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
