Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:47:03.213
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\72SGP_noback\Sad 1 EN.mp4_converted_W72SA01-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.075333600	0.849370400	0.000579491	0.066062820	0.000527040	0.005900094	0.002612387	0.000188336	NotActive	NotActive	B	NotActive	A	B	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:00.125	0.061807460	0.876412500	0.000455972	0.047179640	0.000465300	0.004141009	0.001961834	0.000269899	NotActive	NotActive	B	NotActive	A	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:00.250	0.050575650	0.898867700	0.000341516	0.032756250	0.000378798	0.002871547	0.001449854	0.000251668	NotActive	NotActive	B	NotActive	A	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:00.375	0.039154320	0.921704500	0.000247571	0.022636210	0.000418187	0.001979169	0.001030198	0.000239993	NotActive	NotActive	B	NotActive	B	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:00.500	0.034619580	0.930770000	0.000179852	0.015849760	0.000495513	0.001364863	0.000761852	0.000192780	NotActive	NotActive	A	NotActive	B	A	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:00.625	0.029323130	0.941360000	0.000131285	0.011066930	0.000620625	0.000941771	0.000558802	0.000218107	NotActive	NotActive	A	NotActive	B	A	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:00.750	0.025733650	0.948537100	0.000120438	0.007851336	0.000623420	0.000657990	0.000476080	0.000210773	NotActive	NotActive	A	NotActive	B	A	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:00.875	0.023601580	0.952799900	0.000135374	0.005533289	0.000681627	0.000461305	0.000447893	0.000280849	NotActive	NotActive	A	NotActive	B	A	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.000	0.024887470	0.950227300	0.000142088	0.004123476	0.000665161	0.000329494	0.000409459	0.000215253	NotActive	NotActive	A	NotActive	B	A	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.125	0.026185150	0.947631200	0.000132372	0.003020432	0.000779242	0.000234589	0.000356699	0.000148020	NotActive	NotActive	A	NotActive	B	A	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.250	0.027787260	0.944426600	0.000150916	0.002246774	0.000751329	0.000166447	0.000397546	0.000192770	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.375	0.028191180	0.943618500	0.000162594	0.001882247	0.000692460	0.000121205	0.000498401	0.000193282	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.500	0.026437720	0.947125200	0.000159875	0.001503598	0.000798728	0.000091394	0.000581591	0.000303343	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.625	0.023214720	0.953571100	0.000155694	0.001152817	0.000942472	0.000070406	0.000586761	0.000445590	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.750	0.022070550	0.955859400	0.000156863	0.000940216	0.001026861	0.000056095	0.000635345	0.000406552	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:01.875	0.021986900	0.956026700	0.000166165	0.000744023	0.000903212	0.000044323	0.000672488	0.000279568	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:02.000	0.020137110	0.959726200	0.000158091	0.000591666	0.000886914	0.000035083	0.000609177	0.000296058	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
00:00:02.125	0.020179850	0.959640700	0.000138263	0.000491010	0.000825522	0.000028440	0.000550630	0.000238375	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	B	NotActive	A
