Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:49:54.626
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\72SGP_noback\Sad 5 EN.mp4_converted_W72SA05-02_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.244042800	0.535255400	0.005161131	0.065668450	0.015509400	0.003899697	0.022275910	0.001286969	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.125	0.239531900	0.538745300	0.005683147	0.073493990	0.012739480	0.003177912	0.019582690	0.000977858	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.250	0.260481000	0.493467800	0.006671354	0.095568090	0.010307450	0.003175024	0.021525060	0.001334144	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.375	0.259056300	0.493465200	0.006800056	0.087174730	0.008354242	0.002802505	0.018206730	0.001216132	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.500	0.220395900	0.567537900	0.005841624	0.068648120	0.006112569	0.002115898	0.014204760	0.003919299	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:00.625	0.174311000	0.657274500	0.004732508	0.057786070	0.006150450	0.001691831	0.010448060	0.004591462	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:00.750	0.144577500	0.714913800	0.003795743	0.045738210	0.004421267	0.001254092	0.008352094	0.003927357	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:00.875	0.122102500	0.758625400	0.003089700	0.037795370	0.003230227	0.000917567	0.007022480	0.003349826	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:01.000	0.105757400	0.790442600	0.002653748	0.028301200	0.002365232	0.000664218	0.005347738	0.003122644	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:01.125	0.090357080	0.820664200	0.002206055	0.022391970	0.001909260	0.000497719	0.004247573	0.002261166	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	C
