Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:59:41.523
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\73CN_noback\Sad 3 EN.mp4_converted_W73SA03-03_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.279635000	0.003146055	0.186652300	0.497933900	0.002046109	0.001984287	0.021804610	0.000000000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.125	0.297501700	0.002896014	0.167582900	0.473074500	0.002236193	0.001944833	0.023422320	0.000000000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.250	0.331148800	0.004078678	0.131057700	0.434020700	0.003415997	0.002427123	0.025449500	0.000361155	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.375	0.304764200	0.014661440	0.104240800	0.473978000	0.004597159	0.002872019	0.022155180	0.000248351	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.500	0.305912900	0.133702400	0.079440680	0.395811200	0.004064073	0.002650444	0.028674990	0.000928473	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.625	0.284158000	0.257213000	0.056025930	0.366973800	0.003248158	0.002789477	0.038303780	0.001779556	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive
00:00:00.750	0.250960400	0.378648100	0.039584510	0.333377200	0.002584480	0.002356396	0.035808160	0.001296997	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive
00:00:00.875	0.240609300	0.437621300	0.028159350	0.332681100	0.002367102	0.002079314	0.037612410	0.001108068	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive
00:00:01.000	0.246204900	0.453429400	0.020135590	0.320169900	0.002499461	0.001866267	0.041155900	0.001452132	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive
00:00:01.125	0.224502300	0.514042000	0.014594010	0.311832200	0.002220440	0.001963362	0.036415940	0.001801506	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:01.250	0.227009200	0.521281500	0.011710580	0.319409600	0.002225188	0.002342529	0.032865490	0.001758059	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:01.375	0.230390700	0.522973100	0.009525785	0.279274000	0.001987495	0.002337123	0.031982300	0.002846095	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:01.500	0.217207800	0.555392900	0.007945737	0.277276800	0.001876643	0.002522992	0.032341820	0.003772615	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:01.625	0.217664400	0.558936800	0.007020511	0.267200700	0.001636631	0.003034321	0.035042280	0.005723557	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:01.750	0.228188900	0.540549400	0.007012037	0.261984800	0.001455174	0.003350319	0.043437060	0.005501931	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:01.875	0.231535900	0.536706100	0.005802721	0.281415400	0.001660955	0.003337373	0.044280550	0.006289833	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:02.000	0.226626800	0.548217100	0.004978105	0.280955900	0.002062375	0.003670863	0.041443020	0.006725338	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:02.125	0.221714200	0.560323200	0.004335145	0.267627500	0.002052624	0.003489673	0.037494220	0.006088575	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:02.250	0.229108000	0.548229700	0.004009231	0.282805700	0.002113393	0.003707226	0.041373150	0.004996722	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:02.375	0.221669900	0.564499900	0.004340438	0.308020800	0.002069151	0.004317621	0.040693450	0.004644128	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:02.500	0.237427400	0.533331300	0.004776414	0.284271900	0.001842183	0.006122034	0.045875070	0.004837941	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:02.625	0.239283100	0.529172300	0.004338572	0.252930400	0.001768326	0.005621059	0.046966810	0.004211728	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:02.750	0.234503200	0.538323800	0.003767201	0.225542800	0.001864135	0.005245180	0.046297100	0.003756038	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:02.875	0.244433700	0.519954900	0.003563027	0.251467300	0.001822876	0.005369155	0.046072740	0.004084221	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:03.000	0.242486300	0.523663300	0.003474309	0.282086700	0.001640751	0.005062312	0.050895240	0.003834687	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:03.125	0.260832800	0.484626100	0.010244220	0.252516700	0.001299686	0.004583488	0.073813210	0.003846219	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	B
00:00:03.250	0.287173600	0.429162500	0.011503440	0.273986600	0.001257873	0.005719007	0.077721310	0.005623158	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	B
00:00:03.375	0.293964500	0.417054500	0.010816590	0.267912500	0.001214760	0.006092407	0.078028310	0.006358922	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:03.500	0.304519000	0.398971200	0.008962689	0.291332700	0.001704801	0.008765599	0.073473570	0.005761169	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:03.625	0.302835600	0.404663700	0.007563872	0.293875300	0.001999632	0.009686086	0.069462340	0.006126690	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:03.750	0.311139300	0.387687900	0.007929464	0.294437400	0.001950184	0.010549730	0.071461010	0.006431984	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:03.875	0.320514600	0.349767100	0.008049277	0.309256700	0.002160741	0.010523720	0.072159510	0.005156686	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:04.000	0.314408000	0.318272000	0.006878936	0.343337900	0.002173157	0.010608580	0.073124740	0.005196707	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:04.125	0.305108400	0.292678600	0.006932918	0.376798100	0.002263763	0.011349110	0.069102720	0.004632061	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:04.250	0.323875000	0.287836600	0.021998600	0.313466300	0.001998171	0.008642477	0.066365020	0.004211804	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:04.375	0.319532200	0.269212800	0.019534580	0.338862400	0.001793924	0.007583203	0.084876690	0.004406686	NotActive	NotActive	A	NotActive	A	NotActive	A	A	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:04.500	0.324853400	0.253653000	0.015932240	0.341753800	0.002240153	0.008898243	0.078867350	0.004159932	NotActive	NotActive	A	NotActive	A	NotActive	A	A	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:04.625	0.329360400	0.234081900	0.015390740	0.342681900	0.002393903	0.009007959	0.077399500	0.003568510	NotActive	NotActive	A	NotActive	A	NotActive	A	A	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:04.750	0.336042900	0.229169500	0.012671940	0.339556800	0.003585781	0.009823693	0.070630510	0.005054452	NotActive	NotActive	A	NotActive	A	NotActive	A	A	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
