Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 16:12:58.494
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C00_noback\Sad 3 CN.mp4_converted_E1SA03-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.303350300	0.075718670	0.416640900	0.006990162	0.060262860	0.004299045	0.037466020	0.007748852	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	E
00:00:00.125	0.330702500	0.135119700	0.309556200	0.028801480	0.065533590	0.003602397	0.029604530	0.011187530	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.250	0.331488600	0.222646000	0.216140600	0.041951260	0.091489430	0.003681665	0.021088540	0.008887764	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.375	0.309692900	0.311262300	0.150610900	0.041778490	0.083116320	0.003495254	0.014953400	0.016149160	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.500	0.264191400	0.425712700	0.104233400	0.032982350	0.097312030	0.002953019	0.010479840	0.014966260	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.625	0.219147000	0.530605900	0.072644790	0.025724910	0.085465330	0.002303402	0.007315394	0.011672670	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:00.750	0.194451300	0.589770900	0.050212230	0.021487150	0.075077440	0.001752141	0.005070117	0.010625410	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C
00:00:00.875	0.175784000	0.633779500	0.034742110	0.016228840	0.056221960	0.001236002	0.003497805	0.011184760	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	B
00:00:01.000	0.139802800	0.710321400	0.023992000	0.011703370	0.040720950	0.000870832	0.002414641	0.010479510	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:01.125	0.120974000	0.751126200	0.016703520	0.008749908	0.028813280	0.000615088	0.001670275	0.010235380	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:01.250	0.104393500	0.786452700	0.011521910	0.007632269	0.024047280	0.000449797	0.001153038	0.009121612	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:01.375	0.094434890	0.807862800	0.007950217	0.006423849	0.022397450	0.000340598	0.000798527	0.009904561	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:01.500	0.086440250	0.824879200	0.005514895	0.005744006	0.022174170	0.000275122	0.000559932	0.010753890	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:01.625	0.077818100	0.842830900	0.003836372	0.004978513	0.023068570	0.000220304	0.000393247	0.013085820	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:01.750	0.072064770	0.854823400	0.002702544	0.004616255	0.021693910	0.000206017	0.000283917	0.014190740	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:01.875	0.067885050	0.863520400	0.001921933	0.004801784	0.022912490	0.000193865	0.000208730	0.014444840	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:02.000	0.069270110	0.860980400	0.001408332	0.005355805	0.023413130	0.000202686	0.000158928	0.013911680	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:02.125	0.076155080	0.847366300	0.001168553	0.004409106	0.019599950	0.000165096	0.000128313	0.010974690	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:02.250	0.079682560	0.840413700	0.001717656	0.003655896	0.014949890	0.000183719	0.000153687	0.008118098	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	C
00:00:02.375	0.081595530	0.836665000	0.001409707	0.003675624	0.014882440	0.000212154	0.000131899	0.006431619	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	C
00:00:02.500	0.086625020	0.826655500	0.001088413	0.003610612	0.015663440	0.000237924	0.000113398	0.004917035	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:02.625	0.088816980	0.822315800	0.000996156	0.003643912	0.016082170	0.000308655	0.000113984	0.005147665	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:02.750	0.097233880	0.805524900	0.000861759	0.004019399	0.021350910	0.000364773	0.000158338	0.005242039	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:02.875	0.105561100	0.788937200	0.001028284	0.006965085	0.028893950	0.000683860	0.000192757	0.006047499	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	B
00:00:03.000	0.102230900	0.795648700	0.000843448	0.008046735	0.040443630	0.000885916	0.000182956	0.006117731	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:03.125	0.104400000	0.791347900	0.000715118	0.009986911	0.047569810	0.001042764	0.000158983	0.005350954	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:03.250	0.107304000	0.785539500	0.000580106	0.009570870	0.055274160	0.001448672	0.000147177	0.008130532	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:03.375	0.103424700	0.793344900	0.000520572	0.009502203	0.068873940	0.002087861	0.000137413	0.006307056	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:03.500	0.109709800	0.780775800	0.000491138	0.014064960	0.105618500	0.002856888	0.000143675	0.007851819	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:03.625	0.111495400	0.777291100	0.000480038	0.019132720	0.131420400	0.003234102	0.000142038	0.007790906	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:03.750	0.114475400	0.771715700	0.000539399	0.020134610	0.155790500	0.003336328	0.000180193	0.012591480	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	NotActive
00:00:03.875	0.133675000	0.733694700	0.000650215	0.022555920	0.189324100	0.004741856	0.000191871	0.009575683	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	NotActive
00:00:04.000	0.145588200	0.709997200	0.000709998	0.026866050	0.184558800	0.009246667	0.000255756	0.008033555	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	NotActive
00:00:04.125	0.163322900	0.674506500	0.000700164	0.023658450	0.189815800	0.010329190	0.000280050	0.006035111	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	NotActive
00:00:04.250	0.171238000	0.658885100	0.000784502	0.024086520	0.211185900	0.012626140	0.000418187	0.005546396	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	NotActive
00:00:04.375	0.185771500	0.629759800	0.000786108	0.021603130	0.234969800	0.016289830	0.000485470	0.005308063	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	NotActive
00:00:04.500	0.204642300	0.592019300	0.001029714	0.022330330	0.254469800	0.018683470	0.000623359	0.004480010	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	NotActive
00:00:04.625	0.220286000	0.561670600	0.001241350	0.019202550	0.275097400	0.019660630	0.000811784	0.008156714	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	NotActive
00:00:04.750	0.224619800	0.553161500	0.001490797	0.017336360	0.286693200	0.023024670	0.000914571	0.007691967	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	NotActive
