Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 17:42:48.796
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C09_noback\Happy 6 CN.mp4_converted_E09HA06-02_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.213635600	0.075235350	0.017296270	0.576128400	0.000139614	0.000189840	0.041865570	0.001502821	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.125	0.233470000	0.070159210	0.013347110	0.539231400	0.000111587	0.000191129	0.041760500	0.001601642	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.250	0.248109800	0.062483590	0.011139660	0.513277800	0.000095772	0.000207144	0.046363070	0.001522042	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.375	0.263068000	0.074135000	0.010181640	0.482199200	0.000078414	0.000178389	0.053605860	0.001482087	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.500	0.257200600	0.099350600	0.009462641	0.492119800	0.000070801	0.000167282	0.053103610	0.001211300	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.625	0.282582600	0.121699000	0.008038105	0.440086700	0.000056716	0.000138700	0.053654830	0.001085763	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.750	0.289879200	0.174819400	0.006667892	0.425018300	0.000048451	0.000138559	0.061839510	0.001209041	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.875	0.293632900	0.207280500	0.005468382	0.417125100	0.000043772	0.000127837	0.067342700	0.001185617	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:01.000	0.292112600	0.207818900	0.005105046	0.419824700	0.000042961	0.000128019	0.063678790	0.001197308	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:01.125	0.306312600	0.221513300	0.004293447	0.391133700	0.000039780	0.000116012	0.064853390	0.001221511	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:01.250	0.307514300	0.198060500	0.004206473	0.389218100	0.000045556	0.000131466	0.067943600	0.001780263	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:01.375	0.302563900	0.266496800	0.004639063	0.387479600	0.000050992	0.000133348	0.071736890	0.001374535	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.500	0.238970200	0.433807700	0.005077343	0.345597800	0.000070923	0.000120222	0.058866660	0.000945207	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.625	0.178194900	0.582925400	0.004748218	0.253590100	0.000066073	0.000112946	0.055633600	0.001884454	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.750	0.133481500	0.691309100	0.003915008	0.185758000	0.000056788	0.000089273	0.053842700	0.003148723	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:01.875	0.102461000	0.766385300	0.003860657	0.136144100	0.000058253	0.000077477	0.058690970	0.004313277	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:02.000	0.082548830	0.815173000	0.004088807	0.101123800	0.000051123	0.000066003	0.074835730	0.005568333	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:02.125	0.068883970	0.848667600	0.003419724	0.073610440	0.000045316	0.000055826	0.088021860	0.006887341	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	A	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:02.250	0.060620860	0.869431400	0.003210253	0.056428520	0.000039321	0.000052528	0.091438160	0.005362999	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:02.375	0.063509440	0.866568100	0.003487344	0.051852960	0.000033503	0.000056146	0.110283400	0.003701347	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:02.500	0.075358500	0.844874100	0.004294452	0.040804620	0.000027394	0.000054069	0.121781800	0.002955974	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:02.625	0.074547710	0.847874900	0.004736584	0.035276620	0.000027911	0.000056866	0.136951200	0.002039128	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:02.750	0.068390110	0.861141400	0.003645528	0.036567410	0.000031402	0.000054095	0.114361800	0.002439082	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:02.875	0.073442150	0.851691800	0.002874982	0.040642610	0.000038440	0.000055533	0.111236700	0.002063101	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
