Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/13/2026 14:23:59.957
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C25_noback\Happy 7 CN.mp4_converted_E25SA07-03_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.284378700	0.000125145	0.086872850	0.431580800	0.000272073	0.082588700	0.059659050	0.001087813	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	NotActive
00:00:00.125	0.293552700	0.000138391	0.077098090	0.413238900	0.000244591	0.086689580	0.065263490	0.000748041	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	A
00:00:00.250	0.271277600	0.000188842	0.069919540	0.457939400	0.000212608	0.074869600	0.064786170	0.000514395	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	A
00:00:00.375	0.274165900	0.007333439	0.056271470	0.452226300	0.000260157	0.058749790	0.054667590	0.003347043	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	A
00:00:00.500	0.319227500	0.046010940	0.063644480	0.361986200	0.000268232	0.046952620	0.053425540	0.002468037	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	B
00:00:00.625	0.347729700	0.053017770	0.050254900	0.304871900	0.000222990	0.037151460	0.055988840	0.002170548	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	C
00:00:00.750	0.365977000	0.058165860	0.037258870	0.268283100	0.000167243	0.028973260	0.055240480	0.001807086	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	C
00:00:00.875	0.382878500	0.057966350	0.027439930	0.234434700	0.000140402	0.022641540	0.050914900	0.001623848	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	C
00:00:01.000	0.394459400	0.062079780	0.021330770	0.211220700	0.000119593	0.017037300	0.045177310	0.002278331	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	C
00:00:01.125	0.405086300	0.060192290	0.016368080	0.189926200	0.000098397	0.013045330	0.043366470	0.001909625	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	C
00:00:01.250	0.392837500	0.125347300	0.031198460	0.136075000	0.000323098	0.009864909	0.043339830	0.001597505	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.375	0.388022200	0.162770800	0.024676370	0.118370500	0.000245406	0.007445176	0.038141410	0.001605626	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.500	0.389529100	0.178869700	0.018745740	0.097276040	0.000178472	0.005631834	0.036131430	0.001188965	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.625	0.399462000	0.172146200	0.015605780	0.093639660	0.000137557	0.004757519	0.036225840	0.001005416	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.750	0.393334200	0.193438800	0.013275730	0.082061710	0.000121921	0.004167519	0.031430080	0.001342044	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:01.875	0.382250100	0.221821700	0.010896450	0.081487630	0.000099165	0.003286916	0.030903270	0.001203700	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	D
00:00:02.000	0.388235800	0.214124100	0.009318090	0.085108160	0.000084791	0.002916252	0.036924850	0.001223985	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D
00:00:02.125	0.389661000	0.214212200	0.008801452	0.075107890	0.000072583	0.002600837	0.044867430	0.001467825	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:02.250	0.381478300	0.232597600	0.007849041	0.082942550	0.000055348	0.002311801	0.038799680	0.001385893	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:02.375	0.387710700	0.221522400	0.007070455	0.086150530	0.000044690	0.001985622	0.035334130	0.001068242	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:02.500	0.383652000	0.230619400	0.013659570	0.071249300	0.000086733	0.002197959	0.045583090	0.001014753	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:02.625	0.394971500	0.208638500	0.015193060	0.080025760	0.000084895	0.002291792	0.051451260	0.001453416	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	D
00:00:02.750	0.407182400	0.184666200	0.015584330	0.086044160	0.000093191	0.002272560	0.056415300	0.002106611	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	E
00:00:02.875	0.413350600	0.148102100	0.014421190	0.101705700	0.000084115	0.002544790	0.084441740	0.002117790	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	E
00:00:03.000	0.415136500	0.126475200	0.014041310	0.120497000	0.000079815	0.002934863	0.094743950	0.001827706	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	E
00:00:03.125	0.421834800	0.115286300	0.013240330	0.122477500	0.000073342	0.003360234	0.094712900	0.001575275	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	E
00:00:03.250	0.426740400	0.118296000	0.011656790	0.118227100	0.000065963	0.003128959	0.100300800	0.001234271	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	E
00:00:03.375	0.422943800	0.111354300	0.011057730	0.134657700	0.000056865	0.003128431	0.104620500	0.001160173	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	E
00:00:03.500	0.428820100	0.112960500	0.013036670	0.116469700	0.000059210	0.003278109	0.098697800	0.002378444	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	E
00:00:03.625	0.427171900	0.125442400	0.011239460	0.094903540	0.000056136	0.003163216	0.083900150	0.002850823	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	E
00:00:03.750	0.433300200	0.119504000	0.009666920	0.096155700	0.000062846	0.003186448	0.082755480	0.002208777	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	C	NotActive	NotActive	E
00:00:03.875	0.440225200	0.109997700	0.009495256	0.089516100	0.000058118	0.003154031	0.079904470	0.001705943	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	C	NotActive	NotActive	E
