Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 14:48:04.502
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\56JP_noback\Happy 6 EN.mp4_converted_W56HA06-03_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.423259800	0.002344491	0.013419760	0.101658600	0.047527930	0.177577400	0.004698901	0.000000000	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	B
00:00:00.125	0.428442400	0.006127395	0.012671730	0.124955600	0.049218270	0.166511800	0.004634728	0.000054759	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	B
00:00:00.250	0.416332700	0.010681800	0.012393930	0.163756400	0.052406530	0.160033600	0.005095703	0.000037655	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	B
00:00:00.375	0.414638000	0.024966520	0.010141330	0.166143000	0.057704020	0.170320200	0.005344711	0.000025894	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	B
00:00:00.500	0.418320700	0.046961800	0.008617904	0.159954900	0.060734500	0.167368900	0.006205282	0.000017806	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	B
00:00:00.625	0.423939300	0.068682240	0.045856730	0.124082800	0.057208160	0.125305000	0.007365364	0.000012244	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:00.750	0.416667400	0.109505500	0.055589900	0.139859000	0.048621190	0.103627900	0.009727245	0.000057103	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:00.875	0.409623100	0.123563300	0.045665260	0.164486300	0.041196490	0.104096500	0.010336400	0.000051526	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.000	0.377760900	0.206629200	0.034336490	0.170319500	0.034238010	0.098225530	0.009078216	0.000078964	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.125	0.306103200	0.361903800	0.024375860	0.145573800	0.026203380	0.073268900	0.006860842	0.000054300	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.250	0.224232600	0.533743500	0.017133280	0.114903400	0.019195150	0.051661280	0.004935085	0.000037340	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.375	0.164348800	0.659073700	0.012246690	0.084910140	0.014194240	0.036263940	0.003498638	0.000025677	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.500	0.127134000	0.737334600	0.008864017	0.070074420	0.010705560	0.026125560	0.002595572	0.000017657	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.625	0.099747790	0.794741300	0.006371769	0.059946290	0.007835737	0.019054590	0.001988756	0.000012142	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.750	0.085171740	0.825729100	0.004576013	0.053405380	0.005969902	0.014987350	0.001617459	0.000008349	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.875	0.086843730	0.823669300	0.003376015	0.050345110	0.004835114	0.012744000	0.001458568	0.000005742	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:02.000	0.091766760	0.814735200	0.002850562	0.047296990	0.004215073	0.014355490	0.001460632	0.000003948	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:02.125	0.091822040	0.815257800	0.002254740	0.047855470	0.003720643	0.012904900	0.001455418	0.000141097	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:02.250	0.086048270	0.827160400	0.006946331	0.044199650	0.005824644	0.009538005	0.001799575	0.000097026	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:02.375	0.074388380	0.850749900	0.005998802	0.039573830	0.004985692	0.008003902	0.001660612	0.000193951	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:02.500	0.070566160	0.858642800	0.010339770	0.036384950	0.003819325	0.008946026	0.002615339	0.000237454	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:02.625	0.064188990	0.871503200	0.011390640	0.032268830	0.002963255	0.009044920	0.003225541	0.000289672	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:02.750	0.061170280	0.877612800	0.010042700	0.032710240	0.002801031	0.008540935	0.003045508	0.000274055	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:02.875	0.057031000	0.885930400	0.007799434	0.030254330	0.002441070	0.007570803	0.002478363	0.000188456	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:03.000	0.056181430	0.887652000	0.005686964	0.028369480	0.002157884	0.007512980	0.002164940	0.000310048	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:03.125	0.048612320	0.902791400	0.004159180	0.024058120	0.001845945	0.006041314	0.001889650	0.000278072	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.250	0.042072580	0.915867100	0.003008418	0.023229800	0.001642666	0.004508026	0.001469924	0.000392649	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.375	0.037227370	0.925554300	0.003093578	0.017314700	0.001695224	0.003321784	0.001137104	0.000391451	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.500	0.034527150	0.930952200	0.010049070	0.013605420	0.002276749	0.002421894	0.001208956	0.000801735	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.625	0.032895450	0.934214100	0.016093120	0.011168400	0.002812404	0.001774679	0.001128865	0.001034488	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	D
00:00:03.750	0.038170810	0.923662200	0.025927710	0.009294664	0.003459068	0.001315791	0.001090717	0.000925413	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	D
