Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:13:48.970
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\71JP_noback\Happy 7 EN.mp4_converted_W71HA07-02_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.438708600	0.003058529	0.150287400	0.052780330	0.003800746	0.000405751	0.071829760	0.000501909	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C
00:00:00.125	0.445848700	0.003343719	0.144186500	0.055608590	0.004125362	0.000623928	0.059476090	0.000735106	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B
00:00:00.250	0.454438300	0.005433860	0.119082800	0.068546700	0.007297554	0.003559757	0.056776300	0.000815024	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B
00:00:00.375	0.459669400	0.005364916	0.112842400	0.061423070	0.009405836	0.004489784	0.058654160	0.001087282	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:00.500	0.469447000	0.005603580	0.089613910	0.057617330	0.013841170	0.005739615	0.061185770	0.000837133	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:00.625	0.482841400	0.005911042	0.077702610	0.054551570	0.017795950	0.006797491	0.061964960	0.000733793	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:00.750	0.483151800	0.006175898	0.084795920	0.051651940	0.019526270	0.007725618	0.058063470	0.000734972	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:00.875	0.484011700	0.006612538	0.081134370	0.049151730	0.018876660	0.008502320	0.057744930	0.000696042	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:01.000	0.481615600	0.007867768	0.073238250	0.049420160	0.017637860	0.009061752	0.064132590	0.000591141	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:01.125	0.480247900	0.008539138	0.061679110	0.050667910	0.020620410	0.010297360	0.065391480	0.000849307	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.250	0.475973100	0.008819615	0.052679560	0.047021490	0.020647160	0.009536687	0.072047840	0.001296867	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.375	0.470113500	0.015981790	0.043106280	0.042340230	0.017935750	0.009031766	0.081422020	0.001459913	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.500	0.424939500	0.120054600	0.029738770	0.030292490	0.013441910	0.006456437	0.076194720	0.001802024	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C
00:00:01.625	0.336281100	0.306762800	0.020464680	0.021248150	0.009475467	0.004490511	0.055976710	0.002503913	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	C
00:00:01.750	0.255910100	0.473962500	0.014090080	0.014963630	0.006629746	0.003107494	0.039720890	0.004953631	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.875	0.205265700	0.579692200	0.009707334	0.010531370	0.004659558	0.002161562	0.028451280	0.012906760	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:02.000	0.174020900	0.645235400	0.006692810	0.007522624	0.003277403	0.001518604	0.020476010	0.026720900	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:02.125	0.148581200	0.698215000	0.004637347	0.005611960	0.002308929	0.001077956	0.014691140	0.027469560	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.250	0.124826400	0.747168500	0.003205498	0.004128060	0.001677665	0.000753669	0.010420940	0.028483280	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.375	0.108330800	0.781152600	0.002239429	0.003087822	0.001220281	0.000533624	0.008547897	0.027365430	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.500	0.093621260	0.811254600	0.001582115	0.002293687	0.000917636	0.000389176	0.006974778	0.022092390	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.625	0.083431910	0.832102900	0.001121872	0.001765324	0.000757158	0.000286260	0.006157203	0.017660200	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.750	0.072505260	0.854279000	0.000804874	0.001409075	0.000634318	0.000223013	0.004992659	0.014046160	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.875	0.068405490	0.862700500	0.000583381	0.001217467	0.000483441	0.000167357	0.004445674	0.011524210	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:03.000	0.067702110	0.864260000	0.000437548	0.001233811	0.000468016	0.000128752	0.004181067	0.009873042	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
