Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:51:51.352
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\73CN_noback\Happy 1 EN.mp4_converted_W73HA01-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.180758100	0.032058570	0.004374632	0.641306200	0.000871266	0.000836689	0.334495100	0.001024340	NotActive	NotActive	B	NotActive	B	A	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive
00:00:00.125	0.172029300	0.027068760	0.004513382	0.658939200	0.000818048	0.001043966	0.348521200	0.000704394	NotActive	NotActive	B	NotActive	B	A	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive
00:00:00.250	0.203529900	0.028626140	0.009836503	0.595835900	0.001715403	0.014280590	0.262589300	0.000625680	NotActive	NotActive	B	NotActive	A	A	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	A
00:00:00.375	0.207655200	0.029878730	0.012974200	0.587809100	0.004734650	0.021519160	0.190372600	0.000533813	NotActive	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	A	NotActive	B
00:00:00.500	0.206771100	0.033308420	0.013827520	0.589991500	0.009521237	0.026918770	0.138267600	0.000455662	NotActive	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.625	0.197576000	0.036825370	0.015050670	0.613395300	0.009447044	0.033179630	0.101450400	0.000313338	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.750	0.203223100	0.035238680	0.016605740	0.613865200	0.007973044	0.059466150	0.078493290	0.000349848	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.875	0.226297900	0.031476500	0.017202960	0.576162700	0.006446650	0.057947550	0.077174240	0.000392819	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:01.000	0.235205700	0.025128200	0.018584560	0.562215400	0.005571339	0.064572280	0.065483560	0.000444446	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:01.125	0.252133500	0.024935400	0.021645760	0.549526000	0.004696581	0.075950870	0.056553810	0.000425583	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
