Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:54:03.765
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\73CN_noback\Happy 2 EN.mp4_converted_W73HA02-03_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.202024700	0.024106230	0.090992540	0.615160300	0.001131406	0.001140833	0.058393010	0.006808193	NotActive	NotActive	A	NotActive	NotActive	A	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.125	0.205352600	0.033519390	0.086896020	0.607318900	0.001078921	0.001266606	0.056213420	0.004681695	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.250	0.211665000	0.046254220	0.076915680	0.595186100	0.001109086	0.001370452	0.059982600	0.003219396	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.375	0.206378600	0.057377000	0.066434650	0.603166300	0.000968171	0.001606975	0.070326520	0.002213837	NotActive	NotActive	A	NotActive	NotActive	A	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.500	0.210943000	0.073247720	0.056229290	0.592015300	0.000886897	0.001748244	0.089222680	0.001596564	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.625	0.205740400	0.088193720	0.046331770	0.599399000	0.000884160	0.001810895	0.090752390	0.001128799	NotActive	NotActive	A	NotActive	A	A	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.750	0.223866900	0.103232800	0.037930490	0.560201000	0.000719164	0.001624875	0.096846340	0.000776225	NotActive	NotActive	A	NotActive	A	A	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.875	0.224642600	0.111089800	0.030940850	0.558070400	0.000886674	0.001935862	0.088050000	0.000533776	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.000	0.231350600	0.113665100	0.033714960	0.544833900	0.000812353	0.002734435	0.084619130	0.000475610	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.125	0.237337100	0.105240100	0.029994810	0.532346100	0.000847830	0.002981375	0.093704230	0.000327056	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.250	0.247254800	0.107094900	0.031518680	0.511277600	0.000754841	0.002808749	0.094285730	0.000224902	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.375	0.245696400	0.106697100	0.026764300	0.513845800	0.000722355	0.002663338	0.105788400	0.000154655	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.500	0.250626800	0.109633100	0.024057540	0.503330500	0.000725750	0.002726785	0.104556200	0.000312072	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.625	0.245266200	0.115896700	0.020912590	0.513653200	0.000674205	0.003056233	0.116376500	0.000214598	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.750	0.239880000	0.122688600	0.017578870	0.524125800	0.000682956	0.003060058	0.105269700	0.000147570	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.875	0.244444300	0.134830800	0.015025220	0.514733000	0.000644854	0.003590266	0.099916860	0.000101477	NotActive	NotActive	A	NotActive	A	A	A	A	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
