Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/13/2026 14:25:45.076
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C25_noback\Sad 4 CN.mp4_converted_E25SA04-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.344574200	0.000001041	0.125378000	0.310866400	0.000039103	0.043075730	0.067944590	0.000320846	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	B	NotActive	NotActive	C
00:00:00.125	0.340600600	0.000001103	0.191260400	0.284988200	0.000032571	0.031645890	0.064135100	0.000378725	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	C
00:00:00.250	0.329536400	0.000001382	0.202955200	0.317690700	0.000029287	0.025315000	0.050978240	0.000535522	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	C
00:00:00.375	0.305021300	0.000004065	0.192888500	0.373993900	0.000034018	0.020706710	0.041105130	0.000368255	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	C
00:00:00.500	0.309189100	0.000149466	0.246386200	0.284302100	0.000078459	0.017602280	0.046778690	0.001496820	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	D
00:00:00.625	0.320781300	0.000145884	0.254489500	0.291531800	0.000065611	0.016253290	0.046934420	0.001995722	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	D
00:00:00.750	0.285370900	0.000111552	0.209670000	0.383307100	0.000057329	0.017021670	0.043855900	0.002756721	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	D
00:00:00.875	0.254507800	0.000081994	0.179928700	0.459452300	0.000049754	0.018326130	0.034640110	0.002749883	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	C
00:00:01.000	0.237191700	0.000073357	0.150113300	0.504052700	0.000042700	0.021274450	0.030673700	0.004871810	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	C
00:00:01.125	0.224296500	0.000108484	0.125195300	0.536723000	0.000040254	0.020621170	0.025007370	0.017370280	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C
00:00:01.250	0.219396000	0.000338136	0.108078000	0.551368400	0.000038977	0.021676120	0.020747770	0.022088300	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C
00:00:01.375	0.221455600	0.000605779	0.087799530	0.550703000	0.000046352	0.020718550	0.017801940	0.017722180	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B
00:00:01.500	0.212247100	0.000662535	0.079295660	0.571265900	0.000041389	0.021676640	0.014452580	0.019013230	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B
00:00:01.625	0.194612500	0.000539664	0.070673870	0.607990700	0.000040478	0.020598510	0.014143940	0.023292220	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	A
00:00:01.750	0.188740100	0.000419763	0.060467210	0.620731700	0.000040299	0.022736420	0.014685910	0.030380900	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A
00:00:01.875	0.183981700	0.000325405	0.057196000	0.630882600	0.000038653	0.027020880	0.013962660	0.035007790	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A
00:00:02.000	0.182535800	0.000232671	0.063042020	0.634183600	0.000036596	0.026466440	0.011989500	0.026652540	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A
00:00:02.125	0.170883600	0.000163894	0.068036230	0.657780600	0.000033047	0.029327150	0.010867860	0.020778410	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A
00:00:02.250	0.162278600	0.000121485	0.075890700	0.675202400	0.000035790	0.032537200	0.010653030	0.021131620	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A
00:00:02.375	0.169241800	0.000118826	0.072440390	0.661408800	0.000040613	0.034684660	0.012248340	0.015532060	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A
00:00:02.500	0.168889500	0.000122973	0.065248890	0.662199000	0.000041109	0.038154290	0.014458970	0.012241300	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	A
00:00:02.625	0.182764600	0.000187686	0.224040700	0.475471100	0.000072271	0.029192080	0.026095910	0.010536170	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B
00:00:02.750	0.228197500	0.000162416	0.261377800	0.373701300	0.000057373	0.022235550	0.040445920	0.010833510	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C
