Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 14:49:47.663
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\56JP_noback\Sad 3 EN.mp4_converted_W56SA03-02_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.086840090	0.010617150	0.828923000	0.010156800	0.001979476	0.002412542	0.026213060	0.020736040	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	E
00:00:00.125	0.107949900	0.012134570	0.787118200	0.015733700	0.002036461	0.002819445	0.025048780	0.016852570	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	E
00:00:00.250	0.134113700	0.019232740	0.734995000	0.014711470	0.002507581	0.003837099	0.024102870	0.018803430	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	E
00:00:00.375	0.191153500	0.032823100	0.621981000	0.012703560	0.004276542	0.005769062	0.021373750	0.030563760	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	D
00:00:00.500	0.233373600	0.050311650	0.537644900	0.011799460	0.005364966	0.008840470	0.018231500	0.032079390	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	D
00:00:00.625	0.250117400	0.049496940	0.504858500	0.010293990	0.006528486	0.009542884	0.020233390	0.022059590	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.750	0.221085000	0.072925330	0.561964000	0.008856241	0.006595048	0.009025494	0.019290320	0.031288690	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.875	0.258521700	0.077262910	0.489002100	0.009890530	0.007142731	0.009677513	0.018455440	0.031114810	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:01.000	0.302271200	0.119333000	0.378595600	0.011447540	0.009276729	0.012883090	0.014136280	0.037238630	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:01.125	0.332567200	0.146632000	0.279786900	0.012228440	0.012181760	0.020822650	0.010613830	0.053491120	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
