Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:04:04.446
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\70JP_noback\Sad 4 EN.mp4_converted_W70SA04-02_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.352840500	0.009885228	0.060688030	0.065543780	0.039898560	0.318035900	0.002026556	0.005065034	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:00.125	0.345411300	0.009541249	0.060167800	0.068807230	0.035985920	0.335436600	0.001891479	0.004341281	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:00.250	0.339092600	0.009185579	0.055270140	0.075821510	0.035037800	0.344609900	0.001990504	0.003444065	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:00.375	0.317563300	0.010731960	0.051642720	0.073402290	0.031551120	0.382502900	0.002237130	0.002548346	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:00.500	0.308467000	0.011927550	0.046510360	0.075182480	0.034251470	0.396921900	0.002088505	0.001928795	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A
00:00:00.625	0.291999400	0.010186080	0.047589320	0.072655550	0.034687280	0.426980100	0.002092924	0.001678005	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:00.750	0.280019600	0.010793760	0.054564390	0.073620130	0.033793810	0.448918400	0.002407484	0.001407776	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:00.875	0.286937700	0.010716250	0.048699770	0.072206700	0.034907330	0.433572200	0.002433097	0.001247155	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:01.000	0.302114600	0.012429190	0.044305130	0.063953650	0.035033700	0.401991500	0.002349069	0.001053961	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:01.125	0.320197400	0.013600620	0.042886470	0.061848480	0.037766020	0.365839100	0.002363213	0.001166894	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:01.250	0.338011300	0.025104460	0.047604400	0.078769680	0.036827470	0.329663200	0.002468083	0.001445852	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:01.375	0.344265600	0.053791720	0.047182700	0.099035350	0.030672310	0.316244200	0.002401229	0.001490659	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:01.500	0.356137000	0.087834300	0.046600170	0.142572000	0.026563280	0.283253000	0.002634401	0.001381602	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:01.625	0.355814900	0.152642500	0.072803660	0.100065700	0.033596670	0.198081700	0.006632355	0.001224468	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:01.750	0.334005000	0.239642200	0.098009430	0.076625180	0.027910460	0.141268600	0.011322350	0.000991213	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:01.875	0.337383900	0.264427600	0.077129590	0.068281410	0.023518640	0.112797500	0.009495097	0.001227121	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:02.000	0.342514500	0.277072900	0.062162010	0.059991300	0.020685580	0.090871030	0.007815580	0.001118620	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:02.125	0.344015600	0.288367500	0.055764750	0.056367800	0.019365330	0.076525180	0.006731323	0.000987123	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:02.250	0.358521100	0.268693900	0.051980210	0.057663540	0.017179720	0.072430570	0.005999089	0.000951907	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:02.375	0.366777000	0.259854400	0.047763320	0.061203140	0.015842360	0.065575050	0.006438720	0.000993243	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:02.500	0.371093700	0.256153900	0.043926050	0.058509370	0.014335310	0.060835910	0.009187085	0.001033738	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:02.625	0.366951300	0.267752200	0.039622430	0.059412340	0.013306380	0.057863830	0.009547995	0.001041532	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:02.750	0.359378200	0.286298400	0.037028550	0.062869790	0.012353090	0.056570600	0.010070490	0.001005411	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:02.875	0.357856500	0.291541000	0.032919010	0.058292150	0.012957780	0.057326860	0.009329521	0.001009497	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	B
00:00:03.000	0.368584700	0.272676700	0.037593180	0.058103900	0.013971330	0.054271980	0.008078153	0.001008506	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:03.125	0.385047900	0.239447000	0.041113760	0.053235750	0.012968410	0.057981890	0.007239512	0.000951944	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	B
