Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:08:22.887
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\70JP_noback\Sad 7 EN.mp4_converted_W70SA07-03_noback .mp4
Frame rate	8.119402985



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.429483500	0.165379000	0.097786800	0.058875580	0.003280479	0.000049500	0.005669277	0.232910700	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.123	0.423458400	0.177367700	0.088695210	0.057614710	0.005696426	0.000072502	0.005270406	0.235211000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.246	0.413928400	0.192599800	0.075496550	0.054914600	0.007617167	0.000067831	0.004199347	0.186135900	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.369	0.370499000	0.276056700	0.057272550	0.064195000	0.008784779	0.000183147	0.003537405	0.137284900	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.492	0.309938200	0.392252200	0.058851520	0.046222670	0.017822550	0.000235084	0.008025704	0.098399480	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:00.615	0.249686400	0.509350100	0.066367760	0.036812220	0.015184350	0.001011852	0.008083489	0.068579760	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:00.738	0.218494300	0.569858600	0.059786710	0.032034700	0.012247380	0.007807958	0.006396794	0.049449720	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C
00:00:00.862	0.197983300	0.609457300	0.058375890	0.034017700	0.009991488	0.015086000	0.005488608	0.035218160	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C
00:00:00.985	0.179729000	0.645026900	0.049711590	0.030295730	0.009344772	0.013560640	0.004654802	0.024802000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C
00:00:01.108	0.168741900	0.666469600	0.041801890	0.028754250	0.009511961	0.016295530	0.003905897	0.017675460	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:01.231	0.162828000	0.677805700	0.076915720	0.022144900	0.014369970	0.012062240	0.006348422	0.013248700	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:01.354	0.146296900	0.710118900	0.092606500	0.017902960	0.012182500	0.010308220	0.008154572	0.009191167	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:01.477	0.126271100	0.749543300	0.101449300	0.015883780	0.010676610	0.008366873	0.008890639	0.006697677	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:01.601	0.100582200	0.800358900	0.075063770	0.015557140	0.009267588	0.006757029	0.006641872	0.005219020	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:01.724	0.088874700	0.823627100	0.055682670	0.013768460	0.008660187	0.006406792	0.005223586	0.004553123	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:01.847	0.082583700	0.836180200	0.043326370	0.012645090	0.008206668	0.005640101	0.004605571	0.003329021	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:01.970	0.087942120	0.825517500	0.038662420	0.014233630	0.008567505	0.005454554	0.004451767	0.002795042	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:02.093	0.094184220	0.813349700	0.036352290	0.015189040	0.008104302	0.005946796	0.004523369	0.002547074	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:02.216	0.094543320	0.812521300	0.033476110	0.016293680	0.007104930	0.006109852	0.004658397	0.002434537	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:02.340	0.107498000	0.786262500	0.051398950	0.011743820	0.013463510	0.004568728	0.007328243	0.002120788	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:02.463	0.103187800	0.794669700	0.087344600	0.010788670	0.010682890	0.004333106	0.008121717	0.002506286	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:02.586	0.092784680	0.815679400	0.066119720	0.012338530	0.008961439	0.005152348	0.007211667	0.001769822	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:02.709	0.092208450	0.817124400	0.050409280	0.015477990	0.008303861	0.005052609	0.006167103	0.003228235	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:02.832	0.102690100	0.796588700	0.044843670	0.019626250	0.007685720	0.007395312	0.005578984	0.002977732	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:02.955	0.124695700	0.752748100	0.040036440	0.044202140	0.006577632	0.015938080	0.004945770	0.002267587	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:03.079	0.143119400	0.718045500	0.037755120	0.038140220	0.006081451	0.016530090	0.005104562	0.001827204	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:03.202	0.140303900	0.722681500	0.090823530	0.030720520	0.006051692	0.014064340	0.006159781	0.002032467	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:03.325	0.141737300	0.719584300	0.071471830	0.030747400	0.006718282	0.012486200	0.005388392	0.001897282	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:03.448	0.151157900	0.700615300	0.058709820	0.033399790	0.007848433	0.012675520	0.004519296	0.001785288	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:03.571	0.155714500	0.692117400	0.053313940	0.037943260	0.007113906	0.014853360	0.004050220	0.001613807	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:03.694	0.164623700	0.675186800	0.055574980	0.049098490	0.006918537	0.018131020	0.004010628	0.001542815	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	C
00:00:03.818	0.176271500	0.653320600	0.049270340	0.051946680	0.006868083	0.023164250	0.003634401	0.004847311	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:03.941	0.181737100	0.642312600	0.042651060	0.048598660	0.006968222	0.020134150	0.004198636	0.004042121	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:04.064	0.178109300	0.648668900	0.037391600	0.045622410	0.008029851	0.017345030	0.004159770	0.003527185	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:04.187	0.170349800	0.663515100	0.032407970	0.048854260	0.007420050	0.016156410	0.003943022	0.003299931	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:04.310	0.157639400	0.688413100	0.030100350	0.053143540	0.006971623	0.014291520	0.003548122	0.003512318	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:04.433	0.150667500	0.702252100	0.026101720	0.047708170	0.006657122	0.013110880	0.003876690	0.003864043	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:04.556	0.154661700	0.693805300	0.025922730	0.049825650	0.006294698	0.013715990	0.004077692	0.003620275	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	B
00:00:04.680	0.151563700	0.699988000	0.024215750	0.045140270	0.006121507	0.013226610	0.003624475	0.004126792	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:04.803	0.172816600	0.656997300	0.069382180	0.031957020	0.015877810	0.009836234	0.005864536	0.003486976	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:04.926	0.161884000	0.678382900	0.099905060	0.025528350	0.013493450	0.009195060	0.007369924	0.005109196	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:05.049	0.149353800	0.703892100	0.076876610	0.024348180	0.011115900	0.008704704	0.006297436	0.004439633	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:05.172	0.154867300	0.694029600	0.063796650	0.023058410	0.009614605	0.009346157	0.006067246	0.003555170	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:05.295	0.164735700	0.675087500	0.056796580	0.026711220	0.008865973	0.010170550	0.005759788	0.003187434	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:05.419	0.185016000	0.635066400	0.051147340	0.029573820	0.007940188	0.012864320	0.005165991	0.003119097	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:05.542	0.183192200	0.638047000	0.044153210	0.037418260	0.007453180	0.014412780	0.004640393	0.002960262	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:05.665	0.178758800	0.646373600	0.037059610	0.041384990	0.007964438	0.015103220	0.005104980	0.002555744	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:05.788	0.188500400	0.626554500	0.035847900	0.044183870	0.008417051	0.014928560	0.006269529	0.001810357	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:05.911	0.179251600	0.644683100	0.056468250	0.032239630	0.015072460	0.012120460	0.010605240	0.001895992	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:06.034	0.168067400	0.666937800	0.094016730	0.027675190	0.012149320	0.010660400	0.010368260	0.002194338	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:06.158	0.142580200	0.718074600	0.073906700	0.022515120	0.010080770	0.008341578	0.009473072	0.002003728	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:06.281	0.132259500	0.738283200	0.059273060	0.021721850	0.008112124	0.007733499	0.008747292	0.002836866	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:06.404	0.118108600	0.765943800	0.048360530	0.027865100	0.006595802	0.007621174	0.007851265	0.003187351	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:06.527	0.113956200	0.773747300	0.046239950	0.025952040	0.005824602	0.007890745	0.007251957	0.003342170	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:06.650	0.106312000	0.788669500	0.042253730	0.027796750	0.005695703	0.008942353	0.006002253	0.003025766	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:06.773	0.096204120	0.808729600	0.040847070	0.030271620	0.004922192	0.008054592	0.005101665	0.003587239	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:06.897	0.101198100	0.798560100	0.049263500	0.021646800	0.008539018	0.005996467	0.007282401	0.007230993	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:07.020	0.094701830	0.811477600	0.053963620	0.016384790	0.007941763	0.004717103	0.009446579	0.005011659	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:07.143	0.089052730	0.822578400	0.045632180	0.014817920	0.006878204	0.004509459	0.007602862	0.005522560	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:07.266	0.084207450	0.832397600	0.035074510	0.015921400	0.007276406	0.004202645	0.006310195	0.004811275	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:07.389	0.080384750	0.840123500	0.031502240	0.018504050	0.005774374	0.004564930	0.005498203	0.006038956	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:07.512	0.081697020	0.837527900	0.032067680	0.021270960	0.004487200	0.006343621	0.005144351	0.005655927	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	D
00:00:07.636	0.089386310	0.822227600	0.031983270	0.025782850	0.004225384	0.008511622	0.004386139	0.005634060	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:07.759	0.087308630	0.826378300	0.033226740	0.027396690	0.003894184	0.008916697	0.004078048	0.004351647	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:07.882	0.102536800	0.796030300	0.037533650	0.030522450	0.004503991	0.009522345	0.003685960	0.003605788	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
00:00:08.005	0.102677300	0.795906400	0.037423850	0.031863650	0.004170385	0.010926110	0.004187413	0.003680970	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	C
