Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:15:37.794
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\71JP_noback\Sad 3 EN.mp4_converted_W71SA03-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.338317800	0.000161295	0.307615300	0.044664000	0.001689145	0.000073317	0.324381600	0.000540958	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B
00:00:00.125	0.327625000	0.000146228	0.311774600	0.042435540	0.001718534	0.000072162	0.345870900	0.000634789	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B
00:00:00.250	0.332027100	0.000190319	0.313757600	0.040666970	0.001371974	0.000070662	0.333856900	0.000762879	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B
00:00:00.375	0.319130100	0.010632040	0.222393800	0.031436800	0.001195424	0.000951869	0.360787500	0.000767189	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B
00:00:00.500	0.312844300	0.132874200	0.153291400	0.021920950	0.000927546	0.000814543	0.273230100	0.000913460	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	A	A	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	B
00:00:00.625	0.274027300	0.285919600	0.105529500	0.015175840	0.000702040	0.000604857	0.189835500	0.001622441	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	B
00:00:00.750	0.245353000	0.395125800	0.072685350	0.010519600	0.000498326	0.000474436	0.137257200	0.002811436	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	B	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	B	A	NotActive	C
00:00:00.875	0.268555300	0.384382200	0.050238690	0.007386428	0.000409564	0.000482628	0.106947800	0.004524763	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.000	0.262724800	0.420564600	0.034727360	0.005441787	0.000320796	0.000420341	0.087078960	0.003489571	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.125	0.260494100	0.441888400	0.024053800	0.004065995	0.000260560	0.000376333	0.070480790	0.002711845	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.250	0.256205100	0.462061800	0.016683620	0.003091734	0.000201419	0.000338615	0.063323120	0.002291340	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.375	0.259723800	0.462998200	0.011688700	0.002325995	0.000188341	0.000369017	0.062546580	0.002774438	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.500	0.241829400	0.504270000	0.008104988	0.001761563	0.000169134	0.000321986	0.046868290	0.003206570	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.625	0.235156500	0.521386300	0.005736469	0.001336266	0.000155052	0.000319048	0.039107160	0.003963257	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.750	0.220476500	0.553339200	0.004118397	0.001135071	0.000143321	0.000295949	0.031768550	0.005026648	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:01.875	0.231290800	0.533493600	0.003033618	0.001008749	0.000128125	0.000276497	0.028137040	0.006274363	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:02.000	0.229497800	0.538306100	0.002265868	0.000919627	0.000134971	0.000267050	0.026155740	0.006200027	NotActive	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.125	0.220675300	0.556794500	0.001702871	0.000857801	0.000137912	0.000224464	0.021389230	0.007861887	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.250	0.216649700	0.565425400	0.001293574	0.000835492	0.000139951	0.000195653	0.019785420	0.006979172	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
