Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:49:28.883
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\72SGP_noback\Sad 4 EN.mp4_converted_W72SA04-02_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.590153600	0.071875430	0.010471530	0.255422900	0.020418390	0.008341715	0.043394670	0.002367178	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.125	0.536398400	0.110465300	0.009651398	0.257607800	0.017883900	0.006524449	0.038511040	0.002146408	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.250	0.416494700	0.293312800	0.007277418	0.209378100	0.013268360	0.004959780	0.032584830	0.002208379	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B
00:00:00.375	0.318959800	0.448968100	0.005504974	0.148582500	0.009756659	0.003834186	0.028473470	0.001616265	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	B
00:00:00.500	0.246108800	0.567544900	0.004124365	0.105532200	0.007151823	0.002894820	0.026780570	0.001661598	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	B
00:00:00.625	0.192061800	0.656999200	0.003166495	0.075635270	0.005137297	0.002104587	0.022010040	0.002362514	NotActive	NotActive	B	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C
00:00:00.750	0.181313900	0.665729100	0.003190991	0.056882940	0.003585766	0.001473977	0.020134800	0.006687715	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	C
00:00:00.875	0.179502300	0.660597200	0.003849042	0.047410440	0.002540019	0.001039264	0.021066170	0.008946577	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:01.000	0.168098100	0.677444600	0.003402857	0.042318690	0.001813035	0.000740000	0.019243970	0.014891310	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
00:00:01.125	0.150263800	0.708976400	0.002946090	0.035794930	0.001308696	0.000526083	0.016689660	0.012836040	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	C
