Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:56:54.900
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\73CN_noback\Sad 2 EN.mp4_converted_W73SA02-04_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.325580600	0.082941990	0.012688280	0.389769300	0.011297370	0.033312730	0.055897080	0.000000000	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive
00:00:00.125	0.304579000	0.072786200	0.013964300	0.426544500	0.011292050	0.034655290	0.055083030	0.002433949	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive
00:00:00.250	0.287026400	0.063661730	0.012834120	0.458670400	0.017392440	0.040454320	0.051778750	0.003259993	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive
00:00:00.375	0.268609300	0.062691490	0.014727910	0.500774000	0.016358150	0.036232470	0.049191330	0.003751181	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive
00:00:00.500	0.255974800	0.091186970	0.013710900	0.518397900	0.014209810	0.030928550	0.047787510	0.005363154	NotActive	NotActive	A	NotActive	A	NotActive	NotActive	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive
00:00:00.625	0.257433200	0.171178500	0.010840930	0.507348100	0.012329740	0.024489600	0.049883630	0.005215196	NotActive	NotActive	A	NotActive	A	NotActive	A	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive
00:00:00.750	0.251916600	0.280398500	0.008584226	0.462049400	0.008698587	0.017338270	0.056435290	0.004849200	NotActive	NotActive	A	NotActive	A	NotActive	A	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:00.875	0.240321900	0.370989400	0.006134593	0.433243600	0.006135663	0.012004270	0.053397070	0.005138910	NotActive	NotActive	A	NotActive	A	NotActive	A	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	NotActive	NotActive	A
00:00:01.000	0.203771700	0.490432700	0.004420788	0.388569100	0.004319765	0.008322447	0.044369700	0.010479790	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
00:00:01.125	0.200044100	0.529761100	0.003545014	0.360697700	0.003111368	0.005941228	0.037876230	0.010967630	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D	A	NotActive	A
