Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 14:46:02.958
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\56JP_noback\Happy 2 EN.mp4_converted_W56HA02-05_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.425873600	0.052433960	0.018612230	0.069691450	0.169690600	0.076552710	0.006124472	0.000122156	B	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.125	0.392015400	0.151729700	0.014544430	0.057929290	0.193897000	0.066648600	0.005151498	0.000718856	B	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.250	0.302314200	0.351230100	0.010323800	0.042055880	0.177958300	0.047753950	0.003616024	0.000775828	B	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.375	0.234453800	0.500758100	0.007440258	0.030049860	0.145449400	0.033401430	0.002523781	0.001341916	B	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.500	0.177676800	0.623793200	0.005269027	0.021901320	0.115557800	0.024431100	0.001782752	0.001866153	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.625	0.148819900	0.688046100	0.004423319	0.016907340	0.098102510	0.018541710	0.001315709	0.001459530	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.750	0.122809400	0.744611700	0.004132352	0.016591360	0.076002870	0.014373410	0.001076179	0.001287079	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:00.875	0.108925400	0.775515400	0.003488741	0.012763060	0.061548240	0.011362900	0.000922344	0.001216460	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:01.000	0.104707900	0.786185600	0.002702992	0.010061090	0.064728530	0.009174145	0.000795004	0.000996186	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:01.125	0.139801700	0.718121200	0.002351830	0.012815340	0.090568420	0.011130280	0.000887882	0.000868184	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:01.250	0.151130100	0.696725300	0.002441705	0.014643880	0.105287200	0.012311240	0.001063721	0.000623200	B	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:01.375	0.162416700	0.674817400	0.002192144	0.015298570	0.130463100	0.011727730	0.000997782	0.000531330	B	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:01.500	0.175347900	0.649554200	0.002228502	0.015751670	0.157133200	0.012155430	0.001016972	0.000540853	B	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:01.625	0.186511200	0.627730500	0.002412416	0.015913530	0.169395400	0.012595300	0.001105470	0.000493495	B	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:01.750	0.193525300	0.613802000	0.002418718	0.016129470	0.182322300	0.015259810	0.001117473	0.000371465	B	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:01.875	0.199015900	0.602851100	0.002212032	0.016116390	0.196992000	0.017349710	0.001023644	0.000500303	B	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.000	0.202400600	0.596106900	0.001977142	0.017056140	0.203406000	0.018137740	0.001005463	0.000502791	B	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:02.125	0.207234200	0.586399500	0.001821894	0.018435790	0.205428400	0.018700980	0.001008207	0.000510492	B	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:02.250	0.205969300	0.588827800	0.001882131	0.017309940	0.202911500	0.018230300	0.000926192	0.000671579	B	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:02.375	0.204017900	0.592670600	0.001814649	0.015564130	0.200614500	0.017331240	0.000776001	0.000878928	B	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:02.500	0.204341000	0.591942700	0.001786561	0.014016430	0.211173000	0.017710320	0.000706241	0.001120078	B	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	A
00:00:02.625	0.170922500	0.658622400	0.005257594	0.010980520	0.196268600	0.013346640	0.001015943	0.000877839	A	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	B
00:00:02.750	0.140884900	0.718590600	0.009657921	0.008578846	0.168232100	0.010595350	0.001378490	0.000636542	A	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:02.875	0.123974600	0.752359900	0.013741910	0.007406800	0.168638700	0.008628565	0.001210407	0.000745238	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.000	0.114307000	0.771643600	0.016497940	0.008398712	0.189407300	0.007536609	0.001108785	0.000862781	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.125	0.104098300	0.792019500	0.020360020	0.007315964	0.164852900	0.006376424	0.001029251	0.000766175	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.250	0.095988140	0.808246400	0.015463000	0.007627958	0.152005100	0.006849556	0.000814648	0.000901088	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.375	0.087477900	0.825228900	0.011350390	0.007634512	0.145333100	0.006127766	0.000596250	0.000966747	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.500	0.079960380	0.840234400	0.008172210	0.007606778	0.149626800	0.005472843	0.000435281	0.000767261	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
00:00:03.625	0.073146140	0.853826900	0.005860590	0.006948474	0.129750400	0.004767572	0.000328974	0.000959625	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	C
