Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/13/2026 14:44:53.051
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C26_noback\Happy 1 CN.mp4_converted_E26HA01-01_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.357085500	0.017997590	0.111278400	0.072483430	0.001422765	0.002736751	0.301765600	0.000000000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.125	0.364783700	0.012978640	0.122254600	0.070660610	0.001279784	0.003619955	0.281892700	0.000000000	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.250	0.371149400	0.010203020	0.115664600	0.076168050	0.001268623	0.005670847	0.267172400	0.000929615	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.375	0.386985800	0.008702004	0.102912700	0.100127700	0.001175463	0.007545959	0.234265400	0.000941984	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.500	0.391933500	0.007556539	0.110043800	0.106461300	0.001066089	0.011599870	0.222210000	0.001347514	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.625	0.393946600	0.007815895	0.108835100	0.110272100	0.001113058	0.014379730	0.216655100	0.002185228	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.750	0.394665400	0.010849960	0.097459440	0.103289500	0.001665943	0.014745310	0.214486600	0.001502685	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:00.875	0.389383900	0.014137330	0.091165210	0.099154060	0.001532156	0.015544110	0.224493800	0.002052298	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:01.000	0.373285700	0.020616110	0.091897700	0.093619940	0.001332977	0.013193990	0.256057300	0.002337764	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C
00:00:01.125	0.373754700	0.021221050	0.087858210	0.099712540	0.001331278	0.011152230	0.254555200	0.001607577	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:01.250	0.380967500	0.020178640	0.100549100	0.091653630	0.001440089	0.012222290	0.239920900	0.001903323	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
00:00:01.375	0.379135500	0.021500990	0.103823000	0.076105450	0.001291826	0.015388680	0.243260100	0.001930402	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	D
