Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:20:28.267
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\72SGP_noback\Happy 2 EN.mp4_converted_W72HA02-03_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.283546300	0.044017720	0.008366551	0.468050700	0.012196960	0.002580558	0.062809210	0.000228338	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A
00:00:00.125	0.293892200	0.151316600	0.007231050	0.395688700	0.008694526	0.001864150	0.050917160	0.000720543	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A
00:00:00.250	0.262067000	0.297735700	0.005318980	0.318797700	0.006086962	0.001310888	0.038209790	0.001885379	NotActive	NotActive	B	NotActive	NotActive	A	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A
00:00:00.375	0.219936500	0.438063700	0.003910728	0.242281700	0.004330483	0.000915452	0.029107790	0.003204581	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A
00:00:00.500	0.182528500	0.551286500	0.003069082	0.174693800	0.003076838	0.000642822	0.023839480	0.003835467	NotActive	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	A
00:00:00.625	0.161715500	0.619348900	0.002260978	0.136989000	0.002212622	0.000485765	0.019694630	0.003504751	NotActive	NotActive	A	NotActive	A	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.750	0.134262700	0.692329600	0.001670558	0.106418000	0.001609135	0.000348188	0.015870520	0.003270171	NotActive	NotActive	A	NotActive	A	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.875	0.110425400	0.752404700	0.001233323	0.078238320	0.001178986	0.000251105	0.012326320	0.003178597	NotActive	NotActive	A	NotActive	A	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.000	0.106570000	0.768676300	0.001011081	0.060109120	0.000872548	0.000183471	0.010511050	0.003749576	NotActive	NotActive	A	NotActive	A	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.125	0.095528770	0.796643100	0.000829709	0.043963090	0.000696806	0.000136610	0.009778492	0.004556038	NotActive	NotActive	A	NotActive	A	A	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
