Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 15:52:25.686
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\73CN_noback\Happy 1 EN.mp4_converted_W73HA01-03_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.213077900	0.001303921	0.056708310	0.579348900	0.001359910	0.004249186	0.206098500	0.000000000	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.125	0.193088900	0.002198595	0.049374160	0.620399200	0.001829101	0.003899353	0.210148500	0.000000000	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.250	0.166380000	0.008770392	0.039178730	0.672519600	0.001998826	0.003659050	0.189189700	0.000011326	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.375	0.156087000	0.022590690	0.029792040	0.692853500	0.002300956	0.006538930	0.209648500	0.000007788	NotActive	NotActive	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.500	0.172395000	0.034011750	0.023087370	0.660345000	0.002572930	0.007728303	0.239346200	0.000433828	NotActive	NotActive	A	NotActive	A	NotActive	A	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive
00:00:00.625	0.178350300	0.050675130	0.017154350	0.648826500	0.002678003	0.010060840	0.270453500	0.001510908	NotActive	NotActive	A	NotActive	A	NotActive	A	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive
00:00:00.750	0.194612600	0.054806880	0.013045970	0.617752500	0.002567433	0.011294050	0.245490100	0.002457413	NotActive	NotActive	A	NotActive	A	NotActive	A	A	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive
00:00:00.875	0.207866400	0.088286740	0.009824606	0.591824400	0.002632669	0.009922230	0.220853000	0.002203376	NotActive	NotActive	A	NotActive	A	NotActive	A	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive
00:00:01.000	0.203583500	0.099921030	0.007618034	0.600416700	0.002903822	0.009456564	0.207953500	0.002022321	NotActive	NotActive	A	NotActive	A	NotActive	A	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive
00:00:01.125	0.214008900	0.101820700	0.006244839	0.578950000	0.002983446	0.010206720	0.206187300	0.003339199	NotActive	NotActive	A	NotActive	A	NotActive	A	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive
00:00:01.250	0.218505400	0.116134700	0.005029257	0.569625700	0.003107669	0.010825090	0.183839100	0.003135912	NotActive	NotActive	A	NotActive	A	NotActive	A	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive
00:00:01.375	0.218706900	0.109802800	0.004847000	0.570303900	0.003031044	0.011643400	0.168406900	0.003055003	NotActive	NotActive	A	NotActive	A	NotActive	A	A	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	C	A	NotActive	NotActive
