Video analysis detailed log

Face Model	General
Calibration	-
Start time	7/7/2026 20:11:15.584
Filename	C:\Users\speso916\OneDrive - University of Otago\Desktop\FinalFullFaceVideos\East\C23_noback\Happy 7 CN.mp4_converted_E23HA07-03_noback.mp4
Frame rate	8.000000000



Video Time	Neutral	Happy	Sad	Angry	Surprised	Scared	Disgusted	Contempt	Action Unit 01 - Inner Brow Raiser	Action Unit 02 - Outer Brow Raiser	Action Unit 04 - Brow Lowerer	Action Unit 05 - Upper Lid Raiser	Action Unit 06 - Cheek Raiser	Action Unit 07 - Lid Tightener	Action Unit 09 - Nose Wrinkler	Action Unit 10 - Upper Lip Raiser	Action Unit 12 - Lip Corner Puller	Action Unit 14 - Dimpler	Action Unit 15 - Lip Corner Depressor	Action Unit 17 - Chin Raiser	Action Unit 18 - Lip Pucker	Action Unit 20 - Lip Stretcher	Action Unit 23 - Lip Tightener	Action Unit 24 - Lip Pressor	Action Unit 25 - Lips Part	Action Unit 26 - Jaw Drop	Action Unit 27 - Mouth Stretch	Action Unit 43 - Eyes Closed
00:00:00.000	0.341695300	0.000447600	0.012893140	0.044415620	0.432626700	0.017459010	0.000788080	0.000000000	D	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.125	0.343592900	0.016541490	0.010364970	0.042056560	0.405443000	0.013326270	0.000675685	0.000259419	D	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.250	0.306100100	0.184583100	0.007349141	0.036658030	0.326555700	0.009536653	0.000573063	0.000531314	D	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.375	0.249280900	0.361821400	0.005372072	0.029073560	0.235682500	0.006663941	0.000572444	0.001397287	D	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.500	0.214582900	0.475467500	0.004115629	0.026858910	0.165031900	0.004783711	0.000745917	0.001475385	C	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	B	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.625	0.193785400	0.547654000	0.003303820	0.024569960	0.118325900	0.003423064	0.000692753	0.001832047	C	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:00.750	0.167943500	0.619983700	0.002738048	0.019237180	0.086172420	0.002520728	0.000671682	0.002459925	C	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:00.875	0.147188000	0.675594000	0.002270853	0.016624770	0.062542780	0.001864653	0.000652295	0.003109424	C	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.000	0.133785900	0.712694000	0.001961753	0.015002500	0.045369970	0.001386950	0.000670445	0.003190731	C	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.125	0.136679800	0.713605300	0.001468131	0.012991400	0.035097710	0.001257893	0.000557247	0.003857648	B	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.250	0.143818600	0.704648400	0.001136000	0.011240590	0.029637070	0.001194728	0.000437575	0.004108719	B	C	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.375	0.154383600	0.688515000	0.001066652	0.010193050	0.024762760	0.001163982	0.000393723	0.004139918	B	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.500	0.147800300	0.705947600	0.001190511	0.010336050	0.020096040	0.001050940	0.000425590	0.003773123	B	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	A
00:00:01.625	0.130510200	0.741635700	0.001055617	0.011561780	0.017199350	0.000892366	0.000379812	0.003315728	A	B	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:01.750	0.122113900	0.759692000	0.000972870	0.011632250	0.015251680	0.000817506	0.000314101	0.002791629	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:01.875	0.128497300	0.747877100	0.000896659	0.011110220	0.014205930	0.000836817	0.000284064	0.002478856	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:02.000	0.141794100	0.722010100	0.000820489	0.011272690	0.013119950	0.000763943	0.000264843	0.002506457	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:02.125	0.136953800	0.731562800	0.000706436	0.010758410	0.011880130	0.000697649	0.000219522	0.002547347	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:02.250	0.124766200	0.755721000	0.000622340	0.012414960	0.010700540	0.000593766	0.000186483	0.002582378	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:02.375	0.120588900	0.764270500	0.000614650	0.019504150	0.010195890	0.000547683	0.000176110	0.002474749	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:02.500	0.113238100	0.779442700	0.000586978	0.022908670	0.009749342	0.000550895	0.000176522	0.002442421	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:02.625	0.118233300	0.769672900	0.000576518	0.030484270	0.010838180	0.000548874	0.000184311	0.002086265	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:02.750	0.130586800	0.749807000	0.000594726	0.029420810	0.016107680	0.000531971	0.000246378	0.001434633	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	D	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:02.875	0.152234200	0.715558500	0.000541729	0.028772320	0.018162330	0.000526470	0.000345906	0.000996511	A	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
00:00:03.000	0.219810100	0.612303300	0.000483213	0.035421280	0.033606720	0.000660521	0.000427147	0.000685257	NotActive	A	NotActive	NotActive	A	NotActive	NotActive	NotActive	C	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive	NotActive
