"clip_code","culture","type","smiler","source_video","n_frames","folder","file"
"E1SA06-01","Chinese","Fake","E1","Sad 6 CN",84,"Chinese Fake Smiles","Participant 100_Participant 70 chi sad 6 C00_Analysis 1_video_20260707_161638_detailed.txt"
"E01SA01-01","Chinese","Fake","E01","Sad 1 CN",33,"Chinese Fake Smiles","Participant 107_Participant 77 chi sad 1 C01_Analysis 1_video_20260707_164701_detailed.txt"
"E01SA03-01","Chinese","Fake","E01","Sad 3 CN",43,"Chinese Fake Smiles","Participant 108_Participant 78 chi sad 2 C01_Analysis 1_video_20260707_164738_detailed.txt"
"E01SA04-01","Chinese","Fake","E01","Sad 4 CN",31,"Chinese Fake Smiles","Participant 109_Participant 79 chi sad 3 C01_Analysis 3_video_20260707_164924_detailed.txt"
"E01SA05-01","Chinese","Fake","E01","Sad 5 CN",15,"Chinese Fake Smiles","Participant 110_Participant 80 chi sad 4 C01_Analysis 1_video_20260707_165000_detailed.txt"
"E01SA06-01","Chinese","Fake","E01","Sad 6 CN",30,"Chinese Fake Smiles","Participant 111_Participant 81 chi sad 5 C01_Analysis 1_video_20260707_165033_detailed.txt"
"E01SA07-01","Chinese","Fake","E01","Sad 7 CN",50,"Chinese Fake Smiles","Participant 112_Participant 82 chi sad 6 C01_Analysis 1_video_20260707_165131_detailed.txt"
"E04SA01-01","Chinese","Fake","E04","Sad 1 CN",32,"Chinese Fake Smiles","Participant 119_Participant 89  chi sad 1 C04_Analysis 1_video_20260707_170057_detailed.txt"
"E04SA02-01","Chinese","Fake","E04","Sad 2 CN",52,"Chinese Fake Smiles","Participant 120_Participant 90  chi sad 2 C04_Analysis 1_video_20260707_170125_detailed.txt"
"E04SA03-05","Chinese","Fake","E04","Sad 3 CN",42,"Chinese Fake Smiles","Participant 121_Participant 91  chi sad 3 C04_Analysis 1_video_20260707_170150_detailed.txt"
"E04SA04-04","Chinese","Fake","E04","Sad 4 CN",30,"Chinese Fake Smiles","Participant 122_Participant 92  chi sad 4 C04_Analysis 1_video_20260707_170232_detailed.txt"
"E04SA05-01","Chinese","Fake","E04","Sad 5 CN",55,"Chinese Fake Smiles","Participant 123_Participant 93  chi sad 5 C04_Analysis 1_video_20260707_170524_detailed.txt"
"E04SA07-03","Chinese","Fake","E04","Sad 7 CN",33,"Chinese Fake Smiles","Participant 124_Participant 94  chi sad 6 C04_Analysis 1_video_20260707_170601_detailed.txt"
