"group","clip_code","n_copies","folder","file","size_bytes","n_data_rows"
1,"E1SA06-01",2,"Chinese Fake Smiles","Participant 100_Participant 70 chi sad 6 C00_Analysis 1_video_20260707_161638_detailed.txt",24256,84
1,"E1SA06-01",2,"European Fake Smiles","Participant 100_Participant 70 chi sad 6 C00_Analysis 1_video_20260707_161638_detailed.txt",24256,84
2,"E01SA01-01",2,"Chinese Fake Smiles","Participant 107_Participant 77 chi sad 1 C01_Analysis 1_video_20260707_164701_detailed.txt",10607,33
2,"E01SA01-01",2,"European Fake Smiles","Participant 107_Participant 77 chi sad 1 C01_Analysis 1_video_20260707_164701_detailed.txt",10607,33
3,"E01SA03-01",2,"Chinese Fake Smiles","Participant 108_Participant 78 chi sad 2 C01_Analysis 1_video_20260707_164738_detailed.txt",13419,43
3,"E01SA03-01",2,"European Fake Smiles","Participant 108_Participant 78 chi sad 2 C01_Analysis 1_video_20260707_164738_detailed.txt",13419,43
4,"E01SA04-01",2,"Chinese Fake Smiles","Participant 109_Participant 79 chi sad 3 C01_Analysis 3_video_20260707_164924_detailed.txt",9979,31
4,"E01SA04-01",2,"European Fake Smiles","Participant 109_Participant 79 chi sad 3 C01_Analysis 3_video_20260707_164924_detailed.txt",9979,31
5,"E01SA05-01",2,"Chinese Fake Smiles","Participant 110_Participant 80 chi sad 4 C01_Analysis 1_video_20260707_165000_detailed.txt",5219,15
5,"E01SA05-01",2,"European Fake Smiles","Participant 110_Participant 80 chi sad 4 C01_Analysis 1_video_20260707_165000_detailed.txt",5219,15
6,"E01SA06-01",2,"Chinese Fake Smiles","Participant 111_Participant 81 chi sad 5 C01_Analysis 1_video_20260707_165033_detailed.txt",9461,30
6,"E01SA06-01",2,"European Fake Smiles","Participant 111_Participant 81 chi sad 5 C01_Analysis 1_video_20260707_165033_detailed.txt",9461,30
7,"E01SA07-01",2,"Chinese Fake Smiles","Participant 112_Participant 82 chi sad 6 C01_Analysis 1_video_20260707_165131_detailed.txt",15317,50
7,"E01SA07-01",2,"European Fake Smiles","Participant 112_Participant 82 chi sad 6 C01_Analysis 1_video_20260707_165131_detailed.txt",15317,50
8,"E04SA01-01",2,"Chinese Fake Smiles","Participant 119_Participant 89  chi sad 1 C04_Analysis 1_video_20260707_170057_detailed.txt",9617,32
8,"E04SA01-01",2,"European Fake Smiles","Participant 119_Participant 89  chi sad 1 C04_Analysis 1_video_20260707_170057_detailed.txt",9617,32
9,"E04SA02-01",2,"Chinese Fake Smiles","Participant 120_Participant 90  chi sad 2 C04_Analysis 1_video_20260707_170125_detailed.txt",15393,52
9,"E04SA02-01",2,"European Fake Smiles","Participant 120_Participant 90  chi sad 2 C04_Analysis 1_video_20260707_170125_detailed.txt",15393,52
