"channel","channel_type","full_label","source_column"
"AU01","action_unit","Inner Brow Raiser","Action Unit 01 - Inner Brow Raiser"
"AU02","action_unit","Outer Brow Raiser","Action Unit 02 - Outer Brow Raiser"
"AU04","action_unit","Brow Lowerer","Action Unit 04 - Brow Lowerer"
"AU05","action_unit","Upper Lid Raiser","Action Unit 05 - Upper Lid Raiser"
"AU06","action_unit","Cheek Raiser","Action Unit 06 - Cheek Raiser"
"AU07","action_unit","Lid Tightener","Action Unit 07 - Lid Tightener"
"AU09","action_unit","Nose Wrinkler","Action Unit 09 - Nose Wrinkler"
"AU10","action_unit","Upper Lip Raiser","Action Unit 10 - Upper Lip Raiser"
"AU12","action_unit","Lip Corner Puller","Action Unit 12 - Lip Corner Puller"
"AU14","action_unit","Dimpler","Action Unit 14 - Dimpler"
"AU15","action_unit","Lip Corner Depressor","Action Unit 15 - Lip Corner Depressor"
"AU17","action_unit","Chin Raiser","Action Unit 17 - Chin Raiser"
"AU18","action_unit","Lip Pucker","Action Unit 18 - Lip Pucker"
"AU20","action_unit","Lip Stretcher","Action Unit 20 - Lip Stretcher"
"AU23","action_unit","Lip Tightener","Action Unit 23 - Lip Tightener"
"AU24","action_unit","Lip Pressor","Action Unit 24 - Lip Pressor"
"AU25","action_unit","Lips Part","Action Unit 25 - Lips Part"
"AU26","action_unit","Jaw Drop","Action Unit 26 - Jaw Drop"
"AU27","action_unit","Mouth Stretch","Action Unit 27 - Mouth Stretch"
"AU43","action_unit","Eyes Closed","Action Unit 43 - Eyes Closed"
"Neutral","emotion","Neutral","Neutral"
"Happy","emotion","Happy","Happy"
"Sad","emotion","Sad","Sad"
"Angry","emotion","Angry","Angry"
"Surprised","emotion","Surprised","Surprised"
"Scared","emotion","Scared","Scared"
"Disgusted","emotion","Disgusted","Disgusted"
"Contempt","emotion","Contempt","Contempt"
