"clip_id","smiler_id","culture","smile_type","label_conflict","stimulus","stimulus_num","take_num","clip_duration_s","n_frames","Neutral_pk","Neutral_mn","Neutral_prop","Neutral_durmax","Neutral_durtot","Neutral_tpk","Neutral_auc","Neutral_neps","Neutral_cens0","Neutral_cens1","Happy_pk","Happy_mn","Happy_prop","Happy_durmax","Happy_durtot","Happy_tpk","Happy_auc","Happy_neps","Happy_cens0","Happy_cens1","Sad_pk","Sad_mn","Sad_prop","Sad_durmax","Sad_durtot","Sad_tpk","Sad_auc","Sad_neps","Sad_cens0","Sad_cens1","Angry_pk","Angry_mn","Angry_prop","Angry_durmax","Angry_durtot","Angry_tpk","Angry_auc","Angry_neps","Angry_cens0","Angry_cens1","Surprised_pk","Surprised_mn","Surprised_prop","Surprised_durmax","Surprised_durtot","Surprised_tpk","Surprised_auc","Surprised_neps","Surprised_cens0","Surprised_cens1","Scared_pk","Scared_mn","Scared_prop","Scared_durmax","Scared_durtot","Scared_tpk","Scared_auc","Scared_neps","Scared_cens0","Scared_cens1","Disgusted_pk","Disgusted_mn","Disgusted_prop","Disgusted_durmax","Disgusted_durtot","Disgusted_tpk","Disgusted_auc","Disgusted_neps","Disgusted_cens0","Disgusted_cens1","Contempt_pk","Contempt_mn","Contempt_prop","Contempt_durmax","Contempt_durtot","Contempt_tpk","Contempt_auc","Contempt_neps","Contempt_cens0","Contempt_cens1","AU01_pk","AU01_mn","AU01_prop","AU01_durmax","AU01_durtot","AU01_tpk","AU01_auc","AU01_neps","AU01_cens0","AU01_cens1","AU02_pk","AU02_mn","AU02_prop","AU02_durmax","AU02_durtot","AU02_tpk","AU02_auc","AU02_neps","AU02_cens0","AU02_cens1","AU04_pk","AU04_mn","AU04_prop","AU04_durmax","AU04_durtot","AU04_tpk","AU04_auc","AU04_neps","AU04_cens0","AU04_cens1","AU05_pk","AU05_mn","AU05_prop","AU05_durmax","AU05_durtot","AU05_tpk","AU05_auc","AU05_neps","AU05_cens0","AU05_cens1","AU06_pk","AU06_mn","AU06_prop","AU06_durmax","AU06_durtot","AU06_tpk","AU06_auc","AU06_neps","AU06_cens0","AU06_cens1","AU07_pk","AU07_mn","AU07_prop","AU07_durmax","AU07_durtot","AU07_tpk","AU07_auc","AU07_neps","AU07_cens0","AU07_cens1","AU09_pk","AU09_mn","AU09_prop","AU09_durmax","AU09_durtot","AU09_tpk","AU09_auc","AU09_neps","AU09_cens0","AU09_cens1","AU10_pk","AU10_mn","AU10_prop","AU10_durmax","AU10_durtot","AU10_tpk","AU10_auc","AU10_neps","AU10_cens0","AU10_cens1","AU12_pk","AU12_mn","AU12_prop","AU12_durmax","AU12_durtot","AU12_tpk","AU12_auc","AU12_neps","AU12_cens0","AU12_cens1","AU14_pk","AU14_mn","AU14_prop","AU14_durmax","AU14_durtot","AU14_tpk","AU14_auc","AU14_neps","AU14_cens0","AU14_cens1","AU15_pk","AU15_mn","AU15_prop","AU15_durmax","AU15_durtot","AU15_tpk","AU15_auc","AU15_neps","AU15_cens0","AU15_cens1","AU17_pk","AU17_mn","AU17_prop","AU17_durmax","AU17_durtot","AU17_tpk","AU17_auc","AU17_neps","AU17_cens0","AU17_cens1","AU18_pk","AU18_mn","AU18_prop","AU18_durmax","AU18_durtot","AU18_tpk","AU18_auc","AU18_neps","AU18_cens0","AU18_cens1","AU20_pk","AU20_mn","AU20_prop","AU20_durmax","AU20_durtot","AU20_tpk","AU20_auc","AU20_neps","AU20_cens0","AU20_cens1","AU23_pk","AU23_mn","AU23_prop","AU23_durmax","AU23_durtot","AU23_tpk","AU23_auc","AU23_neps","AU23_cens0","AU23_cens1","AU24_pk","AU24_mn","AU24_prop","AU24_durmax","AU24_durtot","AU24_tpk","AU24_auc","AU24_neps","AU24_cens0","AU24_cens1","AU25_pk","AU25_mn","AU25_prop","AU25_durmax","AU25_durtot","AU25_tpk","AU25_auc","AU25_neps","AU25_cens0","AU25_cens1","AU26_pk","AU26_mn","AU26_prop","AU26_durmax","AU26_durtot","AU26_tpk","AU26_auc","AU26_neps","AU26_cens0","AU26_cens1","AU27_pk","AU27_mn","AU27_prop","AU27_durmax","AU27_durtot","AU27_tpk","AU27_auc","AU27_neps","AU27_cens0","AU27_cens1","AU43_pk","AU43_mn","AU43_prop","AU43_durmax","AU43_durtot","AU43_tpk","AU43_auc","AU43_neps","AU43_cens0","AU43_cens1","duchenne_prop","au12_rise_rate","au12_smooth","au12_n_bouts","exclude_reason"
"E11HA01-01","C11","Chinese","Genuine",0,"Happy 1 CN",1,1,2.875,23,0.4748861,0.2906589,0,0,0,2.75,0.77793804375,0,0,0,0.6374859,0.419900497391304,0.434782608695652,1,1.25,1.75,1.19652694625,2,0,0,0.125077,0.0325537239130435,0,0,0,0,0.083956098125,0,0,0,0.1673478,0.0665623908695652,0,0,0,2.5,0.178323418125,0,0,0,0.09560151,0.0232661063478261,0,0,0,0,0.0605618029375,0,0,0,0.0842142,0.016634202826087,0,0,0,2.75,0.039981694375,0,0,0,0.04307053,0.00847452495652174,0,0,0,2.75,0.020794001125,0,0,0,0.04718811,0.016094364,0,0,0,2.375,0.04300037525,0,0,0,3,1.52173913043478,0.826086956521739,2.375,2.375,1.125,4.25,1,1,0,2,1.04347826086957,0.695652173913043,2,2,0,2.875,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0.347826086956522,0.304347826086957,0.875,0.875,0,0.875,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.91304347826087,0.91304347826087,2.625,2.625,0.25,2.5625,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.91304347826087,0.91304347826087,2.625,2.625,0,2.5625,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.217391304347826,0.217391304347826,0.625,0.625,2.25,0.5625,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.39130434782609,0.869565217391304,2.5,2.5,0.625,6.75,1,0,1,0,,0.0454545454545455,1,
"E11HA02-04","C11","Chinese","Genuine",0,"Happy 2 CN",2,4,5.875,47,0.439324,0.208948908297872,0,0,0,0,1.184753905,0,0,0,0.8845165,0.594637995744681,0.595744680851064,3.375,3.5,2.375,3.4481354375,2,0,1,0.008120016,0.00215997542553192,0,0,0,0.125,0.0121401286875,0,0,0,0.06860978,0.0317309885106383,0,0,0,5.75,0.1792005875,0,0,0,0.01727662,0.00362749991489362,0,0,0,0.125,0.020184583,0,0,0,0.06410331,0.00786162391489362,0,0,0,0.125,0.042072522125,0,0,0,0.05928138,0.0190997879574468,0,0,0,4,0.109929981125,0,0,0,0.005076807,0.0027626919787234,0,0,0,5.625,0.0158442071875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.61702127659574,0.893617021276596,5.25,5.25,1.625,9.375,1,0,1,1,0.808510638297872,0.808510638297872,2,4.75,0,4.625,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.59574468085106,0.936170212765957,5.5,5.5,1.75,15.125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.212765957446809,0.212765957446809,0.625,1.25,0,1.1875,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.17021276595745,0.936170212765957,5.375,5.5,0,12.5,2,1,1,1,0.297872340425532,0.297872340425532,1.75,1.75,1.75,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.4468085106383,1,5.875,5.875,4.25,14.125,1,1,1,0.954545454545455,2.90909090909091,0.130434782608696,1,
"E11HA03-03","C11","Chinese","Genuine",0,"Happy 3 CN",3,3,4.625,37,0.7280338,0.336033332432432,0.108108108108108,0.375,0.5,0,1.47411628125,2,1,1,0.5728947,0.401498385945946,0.108108108108108,0.5,0.5,2.75,1.842028455,1,0,0,0.05836546,0.0111796492972973,0,0,0,0,0.045714659875,0,0,0,0.05352328,0.0349657681081081,0,0,0,0.25,0.157219004375,0,0,0,0.01374641,0.004216214,0,0,0,4.5,0.018164022125,0,0,0,0.002896888,0.000750735216216216,0,0,0,0,0.0031538466875,0,0,0,0.07423837,0.0206174794324324,0,0,0,0,0.088172283,0,0,0,0.01248894,0.0075778095945946,0,0,0,1.875,0.0347014541875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.486486486486486,0.486486486486487,2.25,2.25,1.875,2.25,1,0,0,1,0.702702702702703,0.702702702702703,3.25,3.25,0.75,3.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.78378378378378,0.972972972972973,4.5,4.5,0.5,8.1875,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.162162162162162,0.162162162162162,0.75,0.75,2.75,0.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.32432432432432,1,4.625,4.625,0,14.875,1,1,1,0.5,5.33333333333333,0.0833333333333333,1,
"E11HA04-05","C11","Chinese","Genuine",0,"Happy 4 CN",4,5,4.25,34,0.6227482,0.233377673529412,0.117647058823529,0.5,0.5,0.125,0.94353621875,1,1,0,0.7814324,0.581096127647059,0.794117647058823,3.375,3.375,2.25,2.427167621875,1,0,1,0.2094669,0.0287960676470588,0,0,0,0,0.108563188125,0,0,0,0.06617408,0.0271454432647059,0,0,0,0.375,0.111782324125,0,0,0,0.02341588,0.00698114455882353,0,0,0,0,0.0278590550625,0,0,0,0.006421099,0.00220321576470588,0,0,0,0,0.0088936168125,0,0,0,0.1467238,0.0272234097941176,0,0,0,0,0.105176956,0,0,0,0.04051528,0.0109789940588235,0,0,0,0.375,0.045575627125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.23529411764706,0.764705882352941,3.25,3.25,2.25,5.125,1,0,1,1,0.588235294117647,0.588235294117647,1.625,2.5,1.125,2.4375,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.47058823529412,0.911764705882353,3.875,3.875,1,10.3125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.38235294117647,0.382352941176471,1.625,1.625,2.625,1.5625,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.17647058823529,0.61764705882353,2.625,2.625,3.125,4.875,1,0,1,1,0.147058823529412,0.147058823529412,0.625,0.625,3.25,0.625,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.20588235294118,1,4.25,4.25,2.75,9.0625,1,1,1,0.838709677419355,4.8,0.151515151515152,1,
"E11HA05-04","C11","Chinese","Genuine",0,"Happy 5 CN",5,4,4.625,37,0.7713069,0.361136081081081,0.189189189189189,0.75,0.875,0.25,1.5905217125,2,1,1,0.6358484,0.403332463243243,0.27027027027027,1,1.25,2.75,1.84811297375,2,0,0,0.02918599,0.0088591765945946,0,0,0,0.125,0.038454533,0,0,0,0.2293842,0.111225418378378,0,0,0,1.125,0.497124685,0,0,0,0.2166747,0.0309793229459459,0,0,0,0,0.128987887375,0,0,0,0.0157788,0.00291897781081081,0,0,0,0,0.01230092025,0,0,0,0.07547665,0.0208816046486487,0,0,0,3.25,0.0957631675,0,0,0,0.007403756,0.00297664586486487,0,0,0,2.375,0.0134218114375,0,0,0,1,0.081081081081081,0.0810810810810811,0.375,0.375,0,0.3125,1,1,0,1,0.0270270270270271,0.027027027027027,0.125,0.125,0,0.0625,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.837837837837838,0.783783783783784,3.625,3.625,2.375,3.8125,1,0,1,2,1.62162162162162,0.864864864864865,4,4,1.125,7.375,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.81081081081081,1,4.625,4.625,0.75,8.25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.432432432432432,0.432432432432432,2,2,2.125,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.24324324324324,0.756756756756757,3.5,3.5,3.25,10.25,1,0,1,0.783783783783784,,0.0555555555555556,1,
"E11HA06-04","C11","Chinese","Genuine",0,"Happy 6 CN",6,4,9.75,78,0.8723753,0.246457668076923,0.153846153846154,1.5,1.5,0.125,2.3326349075,1,1,0,0.957745,0.619181820769231,0.794871794871795,7.75,7.75,6,6.00595620125,1,0,0,0.1207273,0.0152001968974359,0,0,0,0.375,0.1446632493125,0,0,0,0.1172474,0.0328704687435897,0,0,0,9.625,0.310955763375,0,0,0,0.03869259,0.00707629893589744,0,0,0,0.125,0.066095687125,0,0,0,0.02012978,0.0054819498974359,0,0,0,0.625,0.051640818375,0,0,0,0.06578647,0.0149199607564103,0,0,0,7.375,0.1425251070625,0,0,0,0.03976499,0.0115702281282051,0,0,0,1.25,0.1126662104375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.47435897435897,0.756410256410256,7.375,7.375,5,14.3125,1,0,1,1,0.730769230769231,0.730769230769231,3.75,7.125,1.625,7.0625,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.75641025641026,0.923076923076923,9,9,4.5,26.75,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.602564102564103,0.602564102564103,5.875,5.875,2.625,5.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.62820512820513,0.666666666666667,5.25,6.5,5.375,15.75,2,0,1,1,0.423076923076923,0.423076923076923,4.125,4.125,2.625,4.125,1,0,0,0,0,0,0,0,0,0,0,0,0,4,2.37179487179487,0.974358974358974,9.5,9.5,7.125,23,1,0,1,0.819444444444444,1.06666666666667,0.0779220779220779,1,
"E13HA01-03","C13","Chinese","Genuine",0,"Happy 1 CN",1,3,2.875,23,0.5723559,0.253734947826087,0.0869565217391304,0.25,0.25,0,0.6773856625,1,1,0,0.6737056,0.558056330434783,0.782608695652174,2.25,2.25,1.5,1.5622873125,1,0,0,0.02654118,0.007617086,0,0,0,2.25,0.0209518758125,0,0,0,0.3258967,0.0912507052173913,0,0,0,0,0.2384654425,0,0,0,0.001922136,0.000758332347826087,0,0,0,0.125,0.002035037375,0,0,0,0.02517598,0.0155610742173913,0,0,0,1.625,0.0433417950625,0,0,0,0.05439526,0.0208536996956522,0,0,0,2.25,0.0572642796875,0,0,0,0.05518625,0.0302374922608696,0,0,0,2.125,0.0852071495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.695652173913043,0.695652173913043,2,2,0.875,1.9375,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2.47826086956522,1,2.875,2.875,0.875,6.875,1,1,1,2,1,0.826086956521739,2.375,2.375,1.625,2.8125,1,0,1,1,0.347826086956522,0.347826086956522,1,1,0.75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.78260869565217,1,2.875,2.875,0.625,4.9375,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.608695652173913,0.608695652173913,1.75,1.75,0.625,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.217391304347826,0.173913043478261,0.5,0.5,2.625,0.5625,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.52173913043478,0.739130434782609,2.125,2.125,2.125,4.1875,1,0,1,1,,0.0454545454545455,1,
"E13HA02-03","C13","Chinese","Genuine",0,"Happy 2 CN",2,3,8.625,69,0.4530519,0.233060592753623,0,0,0,8.5,1.96505989375,0,0,0,0.7379349,0.535233146956522,0.652173913043478,3.5,5.625,7,4.58176169,3,0,0,0.02866996,0.0070431521884058,0,0,0,8.375,0.0588375656875,0,0,0,0.1387672,0.0521042831884058,0,0,0,8.5,0.435658745625,0,0,0,0.000171413,0.000111156362318841,0,0,0,0.625,0.00094696675,0,0,0,0.01363348,0.00891994114492754,0,0,0,2.125,0.0761349936875,0,0,0,0.1124219,0.0264204725362319,0,0,0,8.5,0.21913422875,0,0,0,0.1240999,0.0684327333333333,0,0,0,8,0.583174613125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.840579710144927,0.840579710144927,5.625,7.25,0.375,7.1875,3,0,1,0,0,0,0,0,0,0,0,0,0,3,2.73913043478261,1,8.625,8.625,0.5,23.3125,1,1,1,2,1.39130434782609,1,8.625,8.625,0,11.8125,1,1,1,1,0.333333333333333,0.333333333333333,2.875,2.875,0.5,2.875,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1.8695652173913,1,8.625,8.625,0.25,16,1,1,1,1,0.130434782608696,0.130434782608696,0.875,1.125,3.125,1.125,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1.20289855072464,0.91304347826087,7.75,7.875,2.125,10.25,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0.376811594202899,0.376811594202899,2.625,3.25,3,3.25,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.17391304347826,1,8.625,8.625,0.875,10,1,1,1,1,,0.0588235294117647,1,
"E13HA03-03","C13","Chinese","Genuine",0,"Happy 3 CN",3,3,8.625,69,0.5142967,0.153945736521739,0.0144927536231884,0.125,0.125,8.5,1.27212993375,1,0,1,0.8855718,0.719745315942029,0.898550724637681,4.125,7.75,5.5,6.1642858625,2,0,0,0.0316633,0.00570538115942029,0,0,0,4.5,0.04789498875,0,0,0,0.1289166,0.0403933385507246,0,0,0,8.5,0.334595033125,0,0,0,0.000591637,0.000239247492753623,0,0,0,8.5,0.00199168775,0,0,0,0.01179907,0.00537304630434783,0,0,0,8.5,0.045264232375,0,0,0,0.08623987,0.0174008445652174,0,0,0,4.5,0.147446088125,0,0,0,0.2816723,0.0959828415362319,0,0,0,7.75,0.811052735125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.710144927536232,0.710144927536232,5.875,6.125,0.375,6.125,2,0,0,0,0,0,0,0,0,0,0,0,0,4,2.94202898550725,1,8.625,8.625,2.375,25.125,1,1,1,2,1.47826086956522,1,8.625,8.625,0.625,12.625,1,1,1,1,0.27536231884058,0.27536231884058,2.375,2.375,0.375,2.375,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2.34782608695652,1,8.625,8.625,0.875,20.125,1,1,1,1,0.115942028985507,0.115942028985507,1,1,7.625,0.9375,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0.492753623188406,0.492753623188406,2.5,4.25,0.375,4.25,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0.173913043478261,0.173913043478261,0.625,1.5,2.125,1.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.478260869565217,0.231884057971014,2,2,5.125,4.125,1,0,0,1,0.144927536231884,0.144927536231884,1.25,1.25,5,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1.33333333333333,0.927536231884058,8,8,3.625,11.5,1,0,0,1,,0.0882352941176471,1,
"E13HA04-03","C13","Chinese","Genuine",0,"Happy 4 CN",4,3,6.375,51,0.3039354,0.168659776666667,0,0,0,0.5,1.04374212,0,0,0,0.8507904,0.618486973745098,0.823529411764706,5.25,5.25,5.375,3.9121972024375,1,0,0,0.09794112,0.0163426815098039,0,0,0,0,0.097764568625,0,0,0,0.7764144,0.118403566862745,0.0784313725490196,0.5,0.5,0,0.69715107,1,1,0,0.000426554,0.000190062941176471,0,0,0,4.375,0.0011857961875,0,0,0,0.01388333,0.00730756147058823,0,0,0,0.25,0.0455174418125,0,0,0,0.02244393,0.00830256415686275,0,0,0,4.375,0.05180268725,0,0,0,0.2130965,0.0920343875294118,0,0,0,4.875,0.5840714825625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.745098039215686,0.745098039215686,4.75,4.75,0.625,4.75,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1.84313725490196,0.88235294117647,5.625,5.625,3.125,11.625,1,0,1,1,0.843137254901961,0.843137254901961,5.375,5.375,1,5.3125,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.23529411764706,0.92156862745098,5.875,5.875,2.5,14.125,1,0,1,1,0.235294117647059,0.235294117647059,1.5,1.5,3.75,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.529411764705882,0.529411764705882,3.375,3.375,1.625,3.375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.52941176470588,0.96078431372549,6.125,6.125,1.875,9.6875,1,0,1,0.957446808510638,1.5,0.12,1,
