"outcome","culture","smile_type","n","mean","sd","median","min","max"
"AU06_pk","Chinese","Fake",1,0,,0,0,0
"AU06_pk","Chinese","Genuine",93,2.0645,1.3417,2,0,4
"AU12_pk","Chinese","Fake",1,1,,1,1,1
"AU12_pk","Chinese","Genuine",93,2.4409,1.347,3,0,5
"duchenne_prop","Chinese","Fake",1,0,,0,0,0
"duchenne_prop","Chinese","Genuine",84,0.7987,0.3264,0.956,0,1
"Happy_pk","Chinese","Fake",1,0.0247,,0.0247,0.0247,0.0247
"Happy_pk","Chinese","Genuine",93,0.688,0.2981,0.7814,0.0092,0.9967
"AU01_pk","Chinese","Fake",1,0,,0,0,0
"AU01_pk","Chinese","Genuine",93,0.129,0.5753,0,0,4
"AU02_pk","Chinese","Fake",1,0,,0,0,0
"AU02_pk","Chinese","Genuine",93,0.1398,0.5632,0,0,4
"AU04_pk","Chinese","Fake",1,0,,0,0,0
"AU04_pk","Chinese","Genuine",93,0.3011,0.4842,0,0,2
"AU05_pk","Chinese","Fake",1,0,,0,0,0
"AU05_pk","Chinese","Genuine",93,0.0538,0.2705,0,0,2
"AU07_pk","Chinese","Fake",1,0,,0,0,0
"AU07_pk","Chinese","Genuine",93,0.4301,0.6324,0,0,2
"AU09_pk","Chinese","Fake",1,0,,0,0,0
"AU09_pk","Chinese","Genuine",93,0.3871,0.6599,0,0,2
"AU10_pk","Chinese","Fake",1,0,,0,0,0
"AU10_pk","Chinese","Genuine",93,0.0215,0.1458,0,0,1
"AU14_pk","Chinese","Fake",1,0,,0,0,0
"AU14_pk","Chinese","Genuine",93,0.043,0.204,0,0,1
"AU15_pk","Chinese","Fake",1,0,,0,0,0
"AU15_pk","Chinese","Genuine",93,0.0753,0.2653,0,0,1
"AU17_pk","Chinese","Fake",1,0,,0,0,0
"AU17_pk","Chinese","Genuine",93,0.3871,0.8474,0,0,4
"AU18_pk","Chinese","Fake",1,0,,0,0,0
"AU18_pk","Chinese","Genuine",93,0,0,0,0,0
"AU20_pk","Chinese","Fake",1,0,,0,0,0
"AU20_pk","Chinese","Genuine",93,0.0645,0.247,0,0,1
"AU23_pk","Chinese","Fake",1,0,,0,0,0
"AU23_pk","Chinese","Genuine",93,0.2581,0.7358,0,0,3
"AU24_pk","Chinese","Fake",1,0,,0,0,0
"AU24_pk","Chinese","Genuine",93,0.1183,0.4131,0,0,2
"AU25_pk","Chinese","Fake",1,1,,1,1,1
"AU25_pk","Chinese","Genuine",93,2.0645,1.7434,2,0,5
"AU26_pk","Chinese","Fake",1,0,,0,0,0
"AU26_pk","Chinese","Genuine",93,0.5699,0.8895,0,0,4
"AU27_pk","Chinese","Fake",1,0,,0,0,0
"AU27_pk","Chinese","Genuine",93,0.0215,0.1458,0,0,1
"AU43_pk","Chinese","Fake",1,3,,3,3,3
"AU43_pk","Chinese","Genuine",93,3.4946,1.2125,4,0,5
"AU01_prop","Chinese","Fake",1,0,,0,0,0
"AU01_prop","Chinese","Genuine",93,0.0221,0.1139,0,0,0.8261
"AU02_prop","Chinese","Fake",1,0,,0,0,0
"AU02_prop","Chinese","Genuine",93,0.0243,0.1302,0,0,1
"AU04_prop","Chinese","Fake",1,0,,0,0,0
"AU04_prop","Chinese","Genuine",93,0.1681,0.3285,0,0,1
"AU05_prop","Chinese","Fake",1,0,,0,0,0
"AU05_prop","Chinese","Genuine",93,0.0065,0.0378,0,0,0.3043
"AU06_prop","Chinese","Fake",1,0,,0,0,0
"AU06_prop","Chinese","Genuine",93,0.6613,0.3635,0.8095,0,1
"AU07_prop","Chinese","Fake",1,0,,0,0,0
"AU07_prop","Chinese","Genuine",93,0.2336,0.3589,0,0,1
"AU09_prop","Chinese","Fake",1,0,,0,0,0
"AU09_prop","Chinese","Genuine",93,0.2024,0.3664,0,0,1
"AU10_prop","Chinese","Fake",1,0,,0,0,0
"AU10_prop","Chinese","Genuine",93,0.0029,0.0204,0,0,0.1724
"AU12_prop","Chinese","Fake",1,0.1967,,0.1967,0.1967,0.1967
"AU12_prop","Chinese","Genuine",93,0.753,0.3173,0.9,0,1
"AU14_prop","Chinese","Fake",1,0,,0,0,0
"AU14_prop","Chinese","Genuine",93,0.0105,0.0588,0,0,0.4925
"AU15_prop","Chinese","Fake",1,0,,0,0,0
"AU15_prop","Chinese","Genuine",93,0.01,0.0485,0,0,0.4062
"AU17_prop","Chinese","Fake",1,0,,0,0,0
"AU17_prop","Chinese","Genuine",93,0.1226,0.2753,0,0,1
"AU18_prop","Chinese","Fake",1,0,,0,0,0
"AU18_prop","Chinese","Genuine",93,0,0,0,0,0
"AU20_prop","Chinese","Fake",1,0,,0,0,0
"AU20_prop","Chinese","Genuine",93,0.0254,0.1066,0,0,0.6154
"AU23_prop","Chinese","Fake",1,0,,0,0,0
"AU23_prop","Chinese","Genuine",93,0.1048,0.2973,0,0,1
"AU24_prop","Chinese","Fake",1,0,,0,0,0
"AU24_prop","Chinese","Genuine",93,0.0439,0.1656,0,0,1
"AU25_prop","Chinese","Fake",1,0.0164,,0.0164,0.0164,0.0164
"AU25_prop","Chinese","Genuine",93,0.4947,0.4118,0.5417,0,1
"AU26_prop","Chinese","Fake",1,0,,0,0,0
"AU26_prop","Chinese","Genuine",93,0.204,0.3221,0,0,1
"AU27_prop","Chinese","Fake",1,0,,0,0,0
"AU27_prop","Chinese","Genuine",93,0.0016,0.0132,0,0,0.125
"AU43_prop","Chinese","Fake",1,1,,1,1,1
"AU43_prop","Chinese","Genuine",93,0.8874,0.2269,1,0,1
"au12_rise_rate","Chinese","Fake",0,,,,,
"au12_rise_rate","Chinese","Genuine",42,3.7146,1.9656,4,0.381,8
"au12_smooth","Chinese","Fake",1,0.0333,,0.0333,0.0333,0.0333
"au12_smooth","Chinese","Genuine",93,0.0866,0.0537,0.0816,0,0.2222
"au12_n_bouts","Chinese","Fake",1,1,,1,1,1
"au12_n_bouts","Chinese","Genuine",93,0.957,0.3877,1,0,2
